codepoint,value,subnormal
0x0000,0x0p+0, 
0x0001,0x0.1p-124,!
0x0002,0x1p-127, 
0x0003,0x1.8p-127, 
0x0004,0x1p-126, 
0x0005,0x1.8p-126, 
0x0006,0x1p-125, 
0x0007,0x1.8p-125, 
0x0008,0x1p-124, 
0x0009,0x1.8p-124, 
0x000a,0x1p-123, 
0x000b,0x1.8p-123, 
0x000c,0x1p-122, 
0x000d,0x1.8p-122, 
0x000e,0x1p-121, 
0x000f,0x1.8p-121, 
0x0010,0x1p-120, 
0x0011,0x1.8p-120, 
0x0012,0x1p-119, 
0x0013,0x1.8p-119, 
0x0014,0x1p-118, 
0x0015,0x1.8p-118, 
0x0016,0x1p-117, 
0x0017,0x1.8p-117, 
0x0018,0x1p-116, 
0x0019,0x1.8p-116, 
0x001a,0x1p-115, 
0x001b,0x1.8p-115, 
0x001c,0x1p-114, 
0x001d,0x1.8p-114, 
0x001e,0x1p-113, 
0x001f,0x1.8p-113, 
0x0020,0x1p-112, 
0x0021,0x1.8p-112, 
0x0022,0x1p-111, 
0x0023,0x1.8p-111, 
0x0024,0x1p-110, 
0x0025,0x1.8p-110, 
0x0026,0x1p-109, 
0x0027,0x1.8p-109, 
0x0028,0x1p-108, 
0x0029,0x1.8p-108, 
0x002a,0x1p-107, 
0x002b,0x1.8p-107, 
0x002c,0x1p-106, 
0x002d,0x1.8p-106, 
0x002e,0x1p-105, 
0x002f,0x1.8p-105, 
0x0030,0x1p-104, 
0x0031,0x1.8p-104, 
0x0032,0x1p-103, 
0x0033,0x1.8p-103, 
0x0034,0x1p-102, 
0x0035,0x1.8p-102, 
0x0036,0x1p-101, 
0x0037,0x1.8p-101, 
0x0038,0x1p-100, 
0x0039,0x1.8p-100, 
0x003a,0x1p-99, 
0x003b,0x1.8p-99, 
0x003c,0x1p-98, 
0x003d,0x1.8p-98, 
0x003e,0x1p-97, 
0x003f,0x1.8p-97, 
0x0040,0x1p-96, 
0x0041,0x1.8p-96, 
0x0042,0x1p-95, 
0x0043,0x1.8p-95, 
0x0044,0x1p-94, 
0x0045,0x1.8p-94, 
0x0046,0x1p-93, 
0x0047,0x1.8p-93, 
0x0048,0x1p-92, 
0x0049,0x1.8p-92, 
0x004a,0x1p-91, 
0x004b,0x1.8p-91, 
0x004c,0x1p-90, 
0x004d,0x1.8p-90, 
0x004e,0x1p-89, 
0x004f,0x1.8p-89, 
0x0050,0x1p-88, 
0x0051,0x1.8p-88, 
0x0052,0x1p-87, 
0x0053,0x1.8p-87, 
0x0054,0x1p-86, 
0x0055,0x1.8p-86, 
0x0056,0x1p-85, 
0x0057,0x1.8p-85, 
0x0058,0x1p-84, 
0x0059,0x1.8p-84, 
0x005a,0x1p-83, 
0x005b,0x1.8p-83, 
0x005c,0x1p-82, 
0x005d,0x1.8p-82, 
0x005e,0x1p-81, 
0x005f,0x1.8p-81, 
0x0060,0x1p-80, 
0x0061,0x1.8p-80, 
0x0062,0x1p-79, 
0x0063,0x1.8p-79, 
0x0064,0x1p-78, 
0x0065,0x1.8p-78, 
0x0066,0x1p-77, 
0x0067,0x1.8p-77, 
0x0068,0x1p-76, 
0x0069,0x1.8p-76, 
0x006a,0x1p-75, 
0x006b,0x1.8p-75, 
0x006c,0x1p-74, 
0x006d,0x1.8p-74, 
0x006e,0x1p-73, 
0x006f,0x1.8p-73, 
0x0070,0x1p-72, 
0x0071,0x1.8p-72, 
0x0072,0x1p-71, 
0x0073,0x1.8p-71, 
0x0074,0x1p-70, 
0x0075,0x1.8p-70, 
0x0076,0x1p-69, 
0x0077,0x1.8p-69, 
0x0078,0x1p-68, 
0x0079,0x1.8p-68, 
0x007a,0x1p-67, 
0x007b,0x1.8p-67, 
0x007c,0x1p-66, 
0x007d,0x1.8p-66, 
0x007e,0x1p-65, 
0x007f,0x1.8p-65, 
0x0080,0x1p-64, 
0x0081,0x1.8p-64, 
0x0082,0x1p-63, 
0x0083,0x1.8p-63, 
0x0084,0x1p-62, 
0x0085,0x1.8p-62, 
0x0086,0x1p-61, 
0x0087,0x1.8p-61, 
0x0088,0x1p-60, 
0x0089,0x1.8p-60, 
0x008a,0x1p-59, 
0x008b,0x1.8p-59, 
0x008c,0x1p-58, 
0x008d,0x1.8p-58, 
0x008e,0x1p-57, 
0x008f,0x1.8p-57, 
0x0090,0x1p-56, 
0x0091,0x1.8p-56, 
0x0092,0x1p-55, 
0x0093,0x1.8p-55, 
0x0094,0x1p-54, 
0x0095,0x1.8p-54, 
0x0096,0x1p-53, 
0x0097,0x1.8p-53, 
0x0098,0x1p-52, 
0x0099,0x1.8p-52, 
0x009a,0x1p-51, 
0x009b,0x1.8p-51, 
0x009c,0x1p-50, 
0x009d,0x1.8p-50, 
0x009e,0x1p-49, 
0x009f,0x1.8p-49, 
0x00a0,0x1p-48, 
0x00a1,0x1.8p-48, 
0x00a2,0x1p-47, 
0x00a3,0x1.8p-47, 
0x00a4,0x1p-46, 
0x00a5,0x1.8p-46, 
0x00a6,0x1p-45, 
0x00a7,0x1.8p-45, 
0x00a8,0x1p-44, 
0x00a9,0x1.8p-44, 
0x00aa,0x1p-43, 
0x00ab,0x1.8p-43, 
0x00ac,0x1p-42, 
0x00ad,0x1.8p-42, 
0x00ae,0x1p-41, 
0x00af,0x1.8p-41, 
0x00b0,0x1p-40, 
0x00b1,0x1.8p-40, 
0x00b2,0x1p-39, 
0x00b3,0x1.8p-39, 
0x00b4,0x1p-38, 
0x00b5,0x1.8p-38, 
0x00b6,0x1p-37, 
0x00b7,0x1.8p-37, 
0x00b8,0x1p-36, 
0x00b9,0x1.8p-36, 
0x00ba,0x1p-35, 
0x00bb,0x1.8p-35, 
0x00bc,0x1p-34, 
0x00bd,0x1.8p-34, 
0x00be,0x1p-33, 
0x00bf,0x1.8p-33, 
0x00c0,0x1p-32, 
0x00c1,0x1.8p-32, 
0x00c2,0x1p-31, 
0x00c3,0x1.8p-31, 
0x00c4,0x1p-30, 
0x00c5,0x1.8p-30, 
0x00c6,0x1p-29, 
0x00c7,0x1.8p-29, 
0x00c8,0x1p-28, 
0x00c9,0x1.8p-28, 
0x00ca,0x1p-27, 
0x00cb,0x1.8p-27, 
0x00cc,0x1p-26, 
0x00cd,0x1.8p-26, 
0x00ce,0x1p-25, 
0x00cf,0x1.8p-25, 
0x00d0,0x1p-24, 
0x00d1,0x1.8p-24, 
0x00d2,0x1p-23, 
0x00d3,0x1.8p-23, 
0x00d4,0x1p-22, 
0x00d5,0x1.8p-22, 
0x00d6,0x1p-21, 
0x00d7,0x1.8p-21, 
0x00d8,0x1p-20, 
0x00d9,0x1.8p-20, 
0x00da,0x1p-19, 
0x00db,0x1.8p-19, 
0x00dc,0x1p-18, 
0x00dd,0x1.8p-18, 
0x00de,0x1p-17, 
0x00df,0x1.8p-17, 
0x00e0,0x1p-16, 
0x00e1,0x1.8p-16, 
0x00e2,0x1p-15, 
0x00e3,0x1.8p-15, 
0x00e4,0x1p-14, 
0x00e5,0x1.8p-14, 
0x00e6,0x1p-13, 
0x00e7,0x1.8p-13, 
0x00e8,0x1p-12, 
0x00e9,0x1.8p-12, 
0x00ea,0x1p-11, 
0x00eb,0x1.8p-11, 
0x00ec,0x1p-10, 
0x00ed,0x1.8p-10, 
0x00ee,0x1p-9, 
0x00ef,0x1.8p-9, 
0x00f0,0x1p-8, 
0x00f1,0x1.8p-8, 
0x00f2,0x1p-7, 
0x00f3,0x1.8p-7, 
0x00f4,0x1p-6, 
0x00f5,0x1.8p-6, 
0x00f6,0x1p-5, 
0x00f7,0x1.8p-5, 
0x00f8,0x1p-4, 
0x00f9,0x1.8p-4, 
0x00fa,0x1p-3, 
0x00fb,0x1.8p-3, 
0x00fc,0x1p-2, 
0x00fd,0x1.8p-2, 
0x00fe,0x1p-1, 
0x00ff,0x1.8p-1, 
0x0100,0x1p+0, 
0x0101,0x1.8p+0, 
0x0102,0x1p+1, 
0x0103,0x1.8p+1, 
0x0104,0x1p+2, 
0x0105,0x1.8p+2, 
0x0106,0x1p+3, 
0x0107,0x1.8p+3, 
0x0108,0x1p+4, 
0x0109,0x1.8p+4, 
0x010a,0x1p+5, 
0x010b,0x1.8p+5, 
0x010c,0x1p+6, 
0x010d,0x1.8p+6, 
0x010e,0x1p+7, 
0x010f,0x1.8p+7, 
0x0110,0x1p+8, 
0x0111,0x1.8p+8, 
0x0112,0x1p+9, 
0x0113,0x1.8p+9, 
0x0114,0x1p+10, 
0x0115,0x1.8p+10, 
0x0116,0x1p+11, 
0x0117,0x1.8p+11, 
0x0118,0x1p+12, 
0x0119,0x1.8p+12, 
0x011a,0x1p+13, 
0x011b,0x1.8p+13, 
0x011c,0x1p+14, 
0x011d,0x1.8p+14, 
0x011e,0x1p+15, 
0x011f,0x1.8p+15, 
0x0120,0x1p+16, 
0x0121,0x1.8p+16, 
0x0122,0x1p+17, 
0x0123,0x1.8p+17, 
0x0124,0x1p+18, 
0x0125,0x1.8p+18, 
0x0126,0x1p+19, 
0x0127,0x1.8p+19, 
0x0128,0x1p+20, 
0x0129,0x1.8p+20, 
0x012a,0x1p+21, 
0x012b,0x1.8p+21, 
0x012c,0x1p+22, 
0x012d,0x1.8p+22, 
0x012e,0x1p+23, 
0x012f,0x1.8p+23, 
0x0130,0x1p+24, 
0x0131,0x1.8p+24, 
0x0132,0x1p+25, 
0x0133,0x1.8p+25, 
0x0134,0x1p+26, 
0x0135,0x1.8p+26, 
0x0136,0x1p+27, 
0x0137,0x1.8p+27, 
0x0138,0x1p+28, 
0x0139,0x1.8p+28, 
0x013a,0x1p+29, 
0x013b,0x1.8p+29, 
0x013c,0x1p+30, 
0x013d,0x1.8p+30, 
0x013e,0x1p+31, 
0x013f,0x1.8p+31, 
0x0140,0x1p+32, 
0x0141,0x1.8p+32, 
0x0142,0x1p+33, 
0x0143,0x1.8p+33, 
0x0144,0x1p+34, 
0x0145,0x1.8p+34, 
0x0146,0x1p+35, 
0x0147,0x1.8p+35, 
0x0148,0x1p+36, 
0x0149,0x1.8p+36, 
0x014a,0x1p+37, 
0x014b,0x1.8p+37, 
0x014c,0x1p+38, 
0x014d,0x1.8p+38, 
0x014e,0x1p+39, 
0x014f,0x1.8p+39, 
0x0150,0x1p+40, 
0x0151,0x1.8p+40, 
0x0152,0x1p+41, 
0x0153,0x1.8p+41, 
0x0154,0x1p+42, 
0x0155,0x1.8p+42, 
0x0156,0x1p+43, 
0x0157,0x1.8p+43, 
0x0158,0x1p+44, 
0x0159,0x1.8p+44, 
0x015a,0x1p+45, 
0x015b,0x1.8p+45, 
0x015c,0x1p+46, 
0x015d,0x1.8p+46, 
0x015e,0x1p+47, 
0x015f,0x1.8p+47, 
0x0160,0x1p+48, 
0x0161,0x1.8p+48, 
0x0162,0x1p+49, 
0x0163,0x1.8p+49, 
0x0164,0x1p+50, 
0x0165,0x1.8p+50, 
0x0166,0x1p+51, 
0x0167,0x1.8p+51, 
0x0168,0x1p+52, 
0x0169,0x1.8p+52, 
0x016a,0x1p+53, 
0x016b,0x1.8p+53, 
0x016c,0x1p+54, 
0x016d,0x1.8p+54, 
0x016e,0x1p+55, 
0x016f,0x1.8p+55, 
0x0170,0x1p+56, 
0x0171,0x1.8p+56, 
0x0172,0x1p+57, 
0x0173,0x1.8p+57, 
0x0174,0x1p+58, 
0x0175,0x1.8p+58, 
0x0176,0x1p+59, 
0x0177,0x1.8p+59, 
0x0178,0x1p+60, 
0x0179,0x1.8p+60, 
0x017a,0x1p+61, 
0x017b,0x1.8p+61, 
0x017c,0x1p+62, 
0x017d,0x1.8p+62, 
0x017e,0x1p+63, 
0x017f,0x1.8p+63, 
0x0180,0x1p+64, 
0x0181,0x1.8p+64, 
0x0182,0x1p+65, 
0x0183,0x1.8p+65, 
0x0184,0x1p+66, 
0x0185,0x1.8p+66, 
0x0186,0x1p+67, 
0x0187,0x1.8p+67, 
0x0188,0x1p+68, 
0x0189,0x1.8p+68, 
0x018a,0x1p+69, 
0x018b,0x1.8p+69, 
0x018c,0x1p+70, 
0x018d,0x1.8p+70, 
0x018e,0x1p+71, 
0x018f,0x1.8p+71, 
0x0190,0x1p+72, 
0x0191,0x1.8p+72, 
0x0192,0x1p+73, 
0x0193,0x1.8p+73, 
0x0194,0x1p+74, 
0x0195,0x1.8p+74, 
0x0196,0x1p+75, 
0x0197,0x1.8p+75, 
0x0198,0x1p+76, 
0x0199,0x1.8p+76, 
0x019a,0x1p+77, 
0x019b,0x1.8p+77, 
0x019c,0x1p+78, 
0x019d,0x1.8p+78, 
0x019e,0x1p+79, 
0x019f,0x1.8p+79, 
0x01a0,0x1p+80, 
0x01a1,0x1.8p+80, 
0x01a2,0x1p+81, 
0x01a3,0x1.8p+81, 
0x01a4,0x1p+82, 
0x01a5,0x1.8p+82, 
0x01a6,0x1p+83, 
0x01a7,0x1.8p+83, 
0x01a8,0x1p+84, 
0x01a9,0x1.8p+84, 
0x01aa,0x1p+85, 
0x01ab,0x1.8p+85, 
0x01ac,0x1p+86, 
0x01ad,0x1.8p+86, 
0x01ae,0x1p+87, 
0x01af,0x1.8p+87, 
0x01b0,0x1p+88, 
0x01b1,0x1.8p+88, 
0x01b2,0x1p+89, 
0x01b3,0x1.8p+89, 
0x01b4,0x1p+90, 
0x01b5,0x1.8p+90, 
0x01b6,0x1p+91, 
0x01b7,0x1.8p+91, 
0x01b8,0x1p+92, 
0x01b9,0x1.8p+92, 
0x01ba,0x1p+93, 
0x01bb,0x1.8p+93, 
0x01bc,0x1p+94, 
0x01bd,0x1.8p+94, 
0x01be,0x1p+95, 
0x01bf,0x1.8p+95, 
0x01c0,0x1p+96, 
0x01c1,0x1.8p+96, 
0x01c2,0x1p+97, 
0x01c3,0x1.8p+97, 
0x01c4,0x1p+98, 
0x01c5,0x1.8p+98, 
0x01c6,0x1p+99, 
0x01c7,0x1.8p+99, 
0x01c8,0x1p+100, 
0x01c9,0x1.8p+100, 
0x01ca,0x1p+101, 
