codepoint,value,subnormal
0x0000,0x0p+0, 
0x0001,0x1p-1023, 
0x0002,0x1p-1022, 
0x0003,0x1p-1021, 
0x0004,0x1p-1020, 
0x0005,0x1p-1019, 
0x0006,0x1p-1018, 
0x0007,0x1p-1017, 
0x0008,0x1p-1016, 
0x0009,0x1p-1015, 
0x000a,0x1p-1014, 
0x000b,0x1p-1013, 
0x000c,0x1p-1012, 
0x000d,0x1p-1011, 
0x000e,0x1p-1010, 
0x000f,0x1p-1009, 
0x0010,0x1p-1008, 
0x0011,0x1p-1007, 
0x0012,0x1p-1006, 
0x0013,0x1p-1005, 
0x0014,0x1p-1004, 
0x0015,0x1p-1003, 
0x0016,0x1p-1002, 
0x0017,0x1p-1001, 
0x0018,0x1p-1000, 
0x0019,0x1p-999, 
0x001a,0x1p-998, 
0x001b,0x1p-997, 
0x001c,0x1p-996, 
0x001d,0x1p-995, 
0x001e,0x1p-994, 
0x001f,0x1p-993, 
0x0020,0x1p-992, 
0x0021,0x1p-991, 
0x0022,0x1p-990, 
0x0023,0x1p-989, 
0x0024,0x1p-988, 
0x0025,0x1p-987, 
0x0026,0x1p-986, 
0x0027,0x1p-985, 
0x0028,0x1p-984, 
0x0029,0x1p-983, 
0x002a,0x1p-982, 
0x002b,0x1p-981, 
0x002c,0x1p-980, 
0x002d,0x1p-979, 
0x002e,0x1p-978, 
0x002f,0x1p-977, 
0x0030,0x1p-976, 
0x0031,0x1p-975, 
0x0032,0x1p-974, 
0x0033,0x1p-973, 
0x0034,0x1p-972, 
0x0035,0x1p-971, 
0x0036,0x1p-970, 
0x0037,0x1p-969, 
0x0038,0x1p-968, 
0x0039,0x1p-967, 
0x003a,0x1p-966, 
0x003b,0x1p-965, 
0x003c,0x1p-964, 
0x003d,0x1p-963, 
0x003e,0x1p-962, 
0x003f,0x1p-961, 
0x0040,0x1p-960, 
0x0041,0x1p-959, 
0x0042,0x1p-958, 
0x0043,0x1p-957, 
0x0044,0x1p-956, 
0x0045,0x1p-955, 
0x0046,0x1p-954, 
0x0047,0x1p-953, 
0x0048,0x1p-952, 
0x0049,0x1p-951, 
0x004a,0x1p-950, 
0x004b,0x1p-949, 
0x004c,0x1p-948, 
0x004d,0x1p-947, 
0x004e,0x1p-946, 
0x004f,0x1p-945, 
0x0050,0x1p-944, 
0x0051,0x1p-943, 
0x0052,0x1p-942, 
0x0053,0x1p-941, 
0x0054,0x1p-940, 
0x0055,0x1p-939, 
0x0056,0x1p-938, 
0x0057,0x1p-937, 
0x0058,0x1p-936, 
0x0059,0x1p-935, 
0x005a,0x1p-934, 
0x005b,0x1p-933, 
0x005c,0x1p-932, 
0x005d,0x1p-931, 
0x005e,0x1p-930, 
0x005f,0x1p-929, 
0x0060,0x1p-928, 
0x0061,0x1p-927, 
0x0062,0x1p-926, 
0x0063,0x1p-925, 
0x0064,0x1p-924, 
0x0065,0x1p-923, 
0x0066,0x1p-922, 
0x0067,0x1p-921, 
0x0068,0x1p-920, 
0x0069,0x1p-919, 
0x006a,0x1p-918, 
0x006b,0x1p-917, 
0x006c,0x1p-916, 
0x006d,0x1p-915, 
0x006e,0x1p-914, 
0x006f,0x1p-913, 
0x0070,0x1p-912, 
0x0071,0x1p-911, 
0x0072,0x1p-910, 
0x0073,0x1p-909, 
0x0074,0x1p-908, 
0x0075,0x1p-907, 
0x0076,0x1p-906, 
0x0077,0x1p-905, 
0x0078,0x1p-904, 
0x0079,0x1p-903, 
0x007a,0x1p-902, 
0x007b,0x1p-901, 
0x007c,0x1p-900, 
0x007d,0x1p-899, 
0x007e,0x1p-898, 
0x007f,0x1p-897, 
0x0080,0x1p-896, 
0x0081,0x1p-895, 
0x0082,0x1p-894, 
0x0083,0x1p-893, 
0x0084,0x1p-892, 
0x0085,0x1p-891, 
0x0086,0x1p-890, 
0x0087,0x1p-889, 
0x0088,0x1p-888, 
0x0089,0x1p-887, 
0x008a,0x1p-886, 
0x008b,0x1p-885, 
0x008c,0x1p-884, 
0x008d,0x1p-883, 
0x008e,0x1p-882, 
0x008f,0x1p-881, 
0x0090,0x1p-880, 
0x0091,0x1p-879, 
0x0092,0x1p-878, 
0x0093,0x1p-877, 
0x0094,0x1p-876, 
0x0095,0x1p-875, 
0x0096,0x1p-874, 
0x0097,0x1p-873, 
0x0098,0x1p-872, 
0x0099,0x1p-871, 
0x009a,0x1p-870, 
0x009b,0x1p-869, 
0x009c,0x1p-868, 
0x009d,0x1p-867, 
0x009e,0x1p-866, 
0x009f,0x1p-865, 
0x00a0,0x1p-864, 
0x00a1,0x1p-863, 
0x00a2,0x1p-862, 
0x00a3,0x1p-861, 
0x00a4,0x1p-860, 
0x00a5,0x1p-859, 
0x00a6,0x1p-858, 
0x00a7,0x1p-857, 
0x00a8,0x1p-856, 
0x00a9,0x1p-855, 
0x00aa,0x1p-854, 
0x00ab,0x1p-853, 
0x00ac,0x1p-852, 
0x00ad,0x1p-851, 
0x00ae,0x1p-850, 
0x00af,0x1p-849, 
