codepoint,sprintf_a,subnormal
0x00,0x0p+0, 
0x01,0x0.2p+0,!
0x02,0x0.4p+0,!
0x03,0x0.6p+0,!
0x04,0x1p-1, 
0x05,0x1.4p-1, 
0x06,0x1.8p-1, 
0x07,0x1.cp-1, 
0x08,0x1p+0, 
0x09,0x1.4p+0, 
0x0a,0x1.8p+0, 
0x0b,0x1.cp+0, 
0x0c,0x1p+1, 
0x0d,0x1.4p+1, 
0x0e,0x1.8p+1, 
0x0f,Inf, 
0x10,Inf, 
0x11,-0x0.2p+0,!
0x12,-0x0.4p+0,!
0x13,-0x0.6p+0,!
0x14,-0x1p-1, 
0x15,-0x1.4p-1, 
0x16,-0x1.8p-1, 
0x17,-0x1.cp-1, 
0x18,-0x1p+0, 
0x19,-0x1.4p+0, 
0x1a,-0x1.8p+0, 
0x1b,-0x1.cp+0, 
0x1c,-0x1p+1, 
0x1d,-0x1.4p+1, 
0x1e,-0x1.8p+1, 
0x1f,-Inf, 
