codepoint,value,subnormal
0x0000,0x0p+0, 
0x0001,0x0.2p-4,*
0x0002,0x0.4p-4,*
0x0003,0x0.6p-4,*
0x0004,0x0.8p-4,*
0x0005,0x0.ap-4,*
0x0006,0x0.cp-4,*
0x0007,0x0.ep-4,*
0x0008,0x0.1p+0,*
0x0009,0x0.12p+0,*
0x000a,0x0.14p+0,*
0x000b,0x0.16p+0,*
0x000c,0x0.18p+0,*
0x000d,0x0.1ap+0,*
0x000e,0x0.1cp+0,*
0x000f,0x0.1ep+0,*
0x0010,0x0.2p+0,*
0x0011,0x0.22p+0,*
0x0012,0x0.24p+0,*
0x0013,0x0.26p+0,*
0x0014,0x0.28p+0,*
0x0015,0x0.2ap+0,*
0x0016,0x0.2cp+0,*
0x0017,0x0.2ep+0,*
0x0018,0x0.3p+0,*
0x0019,0x0.32p+0,*
0x001a,0x0.34p+0,*
0x001b,0x0.36p+0,*
0x001c,0x0.38p+0,*
0x001d,0x0.3ap+0,*
0x001e,0x0.3cp+0,*
0x001f,0x0.3ep+0,*
0x0020,0x0.4p+0,*
0x0021,0x0.42p+0,*
0x0022,0x0.44p+0,*
0x0023,0x0.46p+0,*
0x0024,0x0.48p+0,*
0x0025,0x0.4ap+0,*
0x0026,0x0.4cp+0,*
0x0027,0x0.4ep+0,*
0x0028,0x0.5p+0,*
0x0029,0x0.52p+0,*
0x002a,0x0.54p+0,*
0x002b,0x0.56p+0,*
0x002c,0x0.58p+0,*
0x002d,0x0.5ap+0,*
0x002e,0x0.5cp+0,*
0x002f,0x0.5ep+0,*
0x0030,0x0.6p+0,*
0x0031,0x0.62p+0,*
0x0032,0x0.64p+0,*
0x0033,0x0.66p+0,*
0x0034,0x0.68p+0,*
0x0035,0x0.6ap+0,*
0x0036,0x0.6cp+0,*
0x0037,0x0.6ep+0,*
0x0038,0x0.7p+0,*
0x0039,0x0.72p+0,*
0x003a,0x0.74p+0,*
0x003b,0x0.76p+0,*
0x003c,0x0.78p+0,*
0x003d,0x0.7ap+0,*
0x003e,0x0.7cp+0,*
0x003f,0x0.7ep+0,*
0x0040,0x0.8p+0,*
0x0041,0x0.82p+0,*
0x0042,0x0.84p+0,*
0x0043,0x0.86p+0,*
0x0044,0x0.88p+0,*
0x0045,0x0.8ap+0,*
0x0046,0x0.8cp+0,*
0x0047,0x0.8ep+0,*
0x0048,0x0.9p+0,*
0x0049,0x0.92p+0,*
0x004a,0x0.94p+0,*
0x004b,0x0.96p+0,*
0x004c,0x0.98p+0,*
0x004d,0x0.9ap+0,*
0x004e,0x0.9cp+0,*
0x004f,0x0.9ep+0,*
0x0050,0x0.ap+0,*
0x0051,0x0.a2p+0,*
0x0052,0x0.a4p+0,*
0x0053,0x0.a6p+0,*
0x0054,0x0.a8p+0,*
0x0055,0x0.aap+0,*
0x0056,0x0.acp+0,*
0x0057,0x0.aep+0,*
0x0058,0x0.bp+0,*
0x0059,0x0.b2p+0,*
0x005a,0x0.b4p+0,*
0x005b,0x0.b6p+0,*
0x005c,0x0.b8p+0,*
0x005d,0x0.bap+0,*
0x005e,0x0.bcp+0,*
0x005f,0x0.bep+0,*
0x0060,0x0.cp+0,*
0x0061,0x0.c2p+0,*
0x0062,0x0.c4p+0,*
0x0063,0x0.c6p+0,*
0x0064,0x0.c8p+0,*
0x0065,0x0.cap+0,*
0x0066,0x0.ccp+0,*
0x0067,0x0.cep+0,*
0x0068,0x0.dp+0,*
0x0069,0x0.d2p+0,*
0x006a,0x0.d4p+0,*
0x006b,0x0.d6p+0,*
0x006c,0x0.d8p+0,*
0x006d,0x0.dap+0,*
0x006e,0x0.dcp+0,*
0x006f,0x0.dep+0,*
0x0070,0x0.ep+0,*
0x0071,0x0.e2p+0,*
0x0072,0x0.e4p+0,*
0x0073,0x0.e6p+0,*
0x0074,0x0.e8p+0,*
0x0075,0x0.eap+0,*
0x0076,0x0.ecp+0,*
0x0077,0x0.eep+0,*
0x0078,0x0.fp+0,*
0x0079,0x0.f2p+0,*
0x007a,0x0.f4p+0,*
0x007b,0x0.f6p+0,*
0x007c,0x0.f8p+0,*
0x007d,0x0.fap+0,*
0x007e,0x0.fcp+0,*
0x007f,0x0.fep+0,*
0x0080,0x1p+0, 
0x0081,0x1.02p+0, 
0x0082,0x1.04p+0, 
0x0083,0x1.06p+0, 
0x0084,0x1.08p+0, 
0x0085,0x1.0ap+0, 
0x0086,0x1.0cp+0, 
0x0087,0x1.0ep+0, 
0x0088,0x1.1p+0, 
0x0089,0x1.12p+0, 
0x008a,0x1.14p+0, 
0x008b,0x1.16p+0, 
0x008c,0x1.18p+0, 
0x008d,0x1.1ap+0, 
0x008e,0x1.1cp+0, 
0x008f,0x1.1ep+0, 
0x0090,0x1.2p+0, 
0x0091,0x1.22p+0, 
0x0092,0x1.24p+0, 
