codepoint,value,subnormal
0x0000,0x0p+0, 
0x0001,0x1p-511, 
0x0002,0x1p-510, 
0x0003,0x1p-509, 
0x0004,0x1p-508, 
0x0005,0x1p-507, 
0x0006,0x1p-506, 
0x0007,0x1p-505, 
0x0008,0x1p-504, 
0x0009,0x1p-503, 
0x000a,0x1p-502, 
0x000b,0x1p-501, 
0x000c,0x1p-500, 
0x000d,0x1p-499, 
0x000e,0x1p-498, 
0x000f,0x1p-497, 
0x0010,0x1p-496, 
0x0011,0x1p-495, 
0x0012,0x1p-494, 
0x0013,0x1p-493, 
0x0014,0x1p-492, 
0x0015,0x1p-491, 
0x0016,0x1p-490, 
0x0017,0x1p-489, 
0x0018,0x1p-488, 
0x0019,0x1p-487, 
0x001a,0x1p-486, 
0x001b,0x1p-485, 
0x001c,0x1p-484, 
0x001d,0x1p-483, 
0x001e,0x1p-482, 
0x001f,0x1p-481, 
0x0020,0x1p-480, 
0x0021,0x1p-479, 
0x0022,0x1p-478, 
0x0023,0x1p-477, 
0x0024,0x1p-476, 
0x0025,0x1p-475, 
0x0026,0x1p-474, 
0x0027,0x1p-473, 
0x0028,0x1p-472, 
0x0029,0x1p-471, 
0x002a,0x1p-470, 
0x002b,0x1p-469, 
0x002c,0x1p-468, 
0x002d,0x1p-467, 
0x002e,0x1p-466, 
0x002f,0x1p-465, 
0x0030,0x1p-464, 
0x0031,0x1p-463, 
0x0032,0x1p-462, 
0x0033,0x1p-461, 
0x0034,0x1p-460, 
0x0035,0x1p-459, 
0x0036,0x1p-458, 
0x0037,0x1p-457, 
0x0038,0x1p-456, 
0x0039,0x1p-455, 
0x003a,0x1p-454, 
0x003b,0x1p-453, 
0x003c,0x1p-452, 
0x003d,0x1p-451, 
0x003e,0x1p-450, 
0x003f,0x1p-449, 
0x0040,0x1p-448, 
0x0041,0x1p-447, 
0x0042,0x1p-446, 
0x0043,0x1p-445, 
0x0044,0x1p-444, 
0x0045,0x1p-443, 
0x0046,0x1p-442, 
0x0047,0x1p-441, 
0x0048,0x1p-440, 
0x0049,0x1p-439, 
0x004a,0x1p-438, 
0x004b,0x1p-437, 
0x004c,0x1p-436, 
0x004d,0x1p-435, 
0x004e,0x1p-434, 
0x004f,0x1p-433, 
0x0050,0x1p-432, 
0x0051,0x1p-431, 
0x0052,0x1p-430, 
0x0053,0x1p-429, 
0x0054,0x1p-428, 
0x0055,0x1p-427, 
0x0056,0x1p-426, 
0x0057,0x1p-425, 
0x0058,0x1p-424, 
0x0059,0x1p-423, 
0x005a,0x1p-422, 
0x005b,0x1p-421, 
0x005c,0x1p-420, 
0x005d,0x1p-419, 
0x005e,0x1p-418, 
0x005f,0x1p-417, 
0x0060,0x1p-416, 
0x0061,0x1p-415, 
0x0062,0x1p-414, 
0x0063,0x1p-413, 
0x0064,0x1p-412, 
0x0065,0x1p-411, 
0x0066,0x1p-410, 
0x0067,0x1p-409, 
0x0068,0x1p-408, 
0x0069,0x1p-407, 
0x006a,0x1p-406, 
0x006b,0x1p-405, 
0x006c,0x1p-404, 
0x006d,0x1p-403, 
0x006e,0x1p-402, 
0x006f,0x1p-401, 
0x0070,0x1p-400, 
0x0071,0x1p-399, 
0x0072,0x1p-398, 
0x0073,0x1p-397, 
0x0074,0x1p-396, 
0x0075,0x1p-395, 
0x0076,0x1p-394, 
0x0077,0x1p-393, 
0x0078,0x1p-392, 
0x0079,0x1p-391, 
0x007a,0x1p-390, 
0x007b,0x1p-389, 
0x007c,0x1p-388, 
0x007d,0x1p-387, 
0x007e,0x1p-386, 
0x007f,0x1p-385, 
0x0080,0x1p-384, 
0x0081,0x1p-383, 
0x0082,0x1p-382, 
0x0083,0x1p-381, 
0x0084,0x1p-380, 
0x0085,0x1p-379, 
0x0086,0x1p-378, 
0x0087,0x1p-377, 
0x0088,0x1p-376, 
0x0089,0x1p-375, 
0x008a,0x1p-374, 
0x008b,0x1p-373, 
0x008c,0x1p-372, 
0x008d,0x1p-371, 
0x008e,0x1p-370, 
0x008f,0x1p-369, 
0x0090,0x1p-368, 
0x0091,0x1p-367, 
0x0092,0x1p-366, 
0x0093,0x1p-365, 
0x0094,0x1p-364, 
0x0095,0x1p-363, 
0x0096,0x1p-362, 
0x0097,0x1p-361, 
0x0098,0x1p-360, 
0x0099,0x1p-359, 
0x009a,0x1p-358, 
0x009b,0x1p-357, 
0x009c,0x1p-356, 
0x009d,0x1p-355, 
0x009e,0x1p-354, 
0x009f,0x1p-353, 
0x00a0,0x1p-352, 
0x00a1,0x1p-351, 
0x00a2,0x1p-350, 
0x00a3,0x1p-349, 
0x00a4,0x1p-348, 
0x00a5,0x1p-347, 
0x00a6,0x1p-346, 
0x00a7,0x1p-345, 
0x00a8,0x1p-344, 
0x00a9,0x1p-343, 
0x00aa,0x1p-342, 
0x00ab,0x1p-341, 
0x00ac,0x1p-340, 
0x00ad,0x1p-339, 
0x00ae,0x1p-338, 
0x00af,0x1p-337, 
0x00b0,0x1p-336, 
0x00b1,0x1p-335, 
0x00b2,0x1p-334, 
0x00b3,0x1p-333, 
0x00b4,0x1p-332, 
0x00b5,0x1p-331, 
0x00b6,0x1p-330, 
0x00b7,0x1p-329, 
0x00b8,0x1p-328, 
0x00b9,0x1p-327, 
0x00ba,0x1p-326, 
0x00bb,0x1p-325, 
0x00bc,0x1p-324, 
0x00bd,0x1p-323, 
0x00be,0x1p-322, 
0x00bf,0x1p-321, 
0x00c0,0x1p-320, 
0x00c1,0x1p-319, 
0x00c2,0x1p-318, 
0x00c3,0x1p-317, 
0x00c4,0x1p-316, 
0x00c5,0x1p-315, 
0x00c6,0x1p-314, 
0x00c7,0x1p-313, 
0x00c8,0x1p-312, 
0x00c9,0x1p-311, 
0x00ca,0x1p-310, 
0x00cb,0x1p-309, 
0x00cc,0x1p-308, 
0x00cd,0x1p-307, 
0x00ce,0x1p-306, 
0x00cf,0x1p-305, 
0x00d0,0x1p-304, 
0x00d1,0x1p-303, 
0x00d2,0x1p-302, 
0x00d3,0x1p-301, 
0x00d4,0x1p-300, 
0x00d5,0x1p-299, 
0x00d6,0x1p-298, 
0x00d7,0x1p-297, 
0x00d8,0x1p-296, 
0x00d9,0x1p-295, 
0x00da,0x1p-294, 
0x00db,0x1p-293, 
0x00dc,0x1p-292, 
0x00dd,0x1p-291, 
0x00de,0x1p-290, 
0x00df,0x1p-289, 
0x00e0,0x1p-288, 
0x00e1,0x1p-287, 
0x00e2,0x1p-286, 
0x00e3,0x1p-285, 
0x00e4,0x1p-284, 
0x00e5,0x1p-283, 
0x00e6,0x1p-282, 
0x00e7,0x1p-281, 
0x00e8,0x1p-280, 
0x00e9,0x1p-279, 
0x00ea,0x1p-278, 
0x00eb,0x1p-277, 
0x00ec,0x1p-276, 
0x00ed,0x1p-275, 
0x00ee,0x1p-274, 
0x00ef,0x1p-273, 
0x00f0,0x1p-272, 
0x00f1,0x1p-271, 
0x00f2,0x1p-270, 
0x00f3,0x1p-269, 
0x00f4,0x1p-268, 
0x00f5,0x1p-267, 
0x00f6,0x1p-266, 
0x00f7,0x1p-265, 
0x00f8,0x1p-264, 
0x00f9,0x1p-263, 
0x00fa,0x1p-262, 
0x00fb,0x1p-261, 
0x00fc,0x1p-260, 
0x00fd,0x1p-259, 
0x00fe,0x1p-258, 
0x00ff,0x1p-257, 
0x0100,0x1p-256, 
0x0101,0x1p-255, 
0x0102,0x1p-254, 
0x0103,0x1p-253, 
0x0104,0x1p-252, 
0x0105,0x1p-251, 
0x0106,0x1p-250, 
0x0107,0x1p-249, 
0x0108,0x1p-248, 
0x0109,0x1p-247, 
0x010a,0x1p-246, 
0x010b,0x1p-245, 
0x010c,0x1p-244, 
0x010d,0x1p-243, 
0x010e,0x1p-242, 
0x010f,0x1p-241, 
0x0110,0x1p-240, 
0x0111,0x1p-239, 
0x0112,0x1p-238, 
0x0113,0x1p-237, 
0x0114,0x1p-236, 
0x0115,0x1p-235, 
0x0116,0x1p-234, 
0x0117,0x1p-233, 
0x0118,0x1p-232, 
0x0119,0x1p-231, 
0x011a,0x1p-230, 
0x011b,0x1p-229, 
0x011c,0x1p-228, 
0x011d,0x1p-227, 
0x011e,0x1p-226, 
0x011f,0x1p-225, 
0x0120,0x1p-224, 
0x0121,0x1p-223, 
0x0122,0x1p-222, 
0x0123,0x1p-221, 
0x0124,0x1p-220, 
0x0125,0x1p-219, 
0x0126,0x1p-218, 
0x0127,0x1p-217, 
0x0128,0x1p-216, 
0x0129,0x1p-215, 
