codepoint,sprintf_a,subnormal
0x0000,0x0p+0, 
0x0001,0x1p-2047, 
0x0002,0x1p-2046, 
0x0003,0x1p-2045, 
0x0004,0x1p-2044, 
0x0005,0x1p-2043, 
0x0006,0x1p-2042, 
0x0007,0x1p-2041, 
0x0008,0x1p-2040, 
0x0009,0x1p-2039, 
0x000a,0x1p-2038, 
0x000b,0x1p-2037, 
0x000c,0x1p-2036, 
0x000d,0x1p-2035, 
0x000e,0x1p-2034, 
0x000f,0x1p-2033, 
0x0010,0x1p-2032, 
0x0011,0x1p-2031, 
0x0012,0x1p-2030, 
0x0013,0x1p-2029, 
0x0014,0x1p-2028, 
0x0015,0x1p-2027, 
0x0016,0x1p-2026, 
0x0017,0x1p-2025, 
0x0018,0x1p-2024, 
0x0019,0x1p-2023, 
0x001a,0x1p-2022, 
0x001b,0x1p-2021, 
0x001c,0x1p-2020, 
0x001d,0x1p-2019, 
0x001e,0x1p-2018, 
0x001f,0x1p-2017, 
0x0020,0x1p-2016, 
0x0021,0x1p-2015, 
0x0022,0x1p-2014, 
0x0023,0x1p-2013, 
0x0024,0x1p-2012, 
0x0025,0x1p-2011, 
0x0026,0x1p-2010, 
0x0027,0x1p-2009, 
0x0028,0x1p-2008, 
0x0029,0x1p-2007, 
0x002a,0x1p-2006, 
0x002b,0x1p-2005, 
0x002c,0x1p-2004, 
0x002d,0x1p-2003, 
0x002e,0x1p-2002, 
0x002f,0x1p-2001, 
0x0030,0x1p-2000, 
0x0031,0x1p-1999, 
0x0032,0x1p-1998, 
0x0033,0x1p-1997, 
0x0034,0x1p-1996, 
0x0035,0x1p-1995, 
0x0036,0x1p-1994, 
0x0037,0x1p-1993, 
0x0038,0x1p-1992, 
0x0039,0x1p-1991, 
0x003a,0x1p-1990, 
0x003b,0x1p-1989, 
0x003c,0x1p-1988, 
0x003d,0x1p-1987, 
0x003e,0x1p-1986, 
0x003f,0x1p-1985, 
0x0040,0x1p-1984, 
0x0041,0x1p-1983, 
0x0042,0x1p-1982, 
0x0043,0x1p-1981, 
0x0044,0x1p-1980, 
0x0045,0x1p-1979, 
0x0046,0x1p-1978, 
0x0047,0x1p-1977, 
0x0048,0x1p-1976, 
0x0049,0x1p-1975, 
0x004a,0x1p-1974, 
0x004b,0x1p-1973, 
0x004c,0x1p-1972, 
0x004d,0x1p-1971, 
0x004e,0x1p-1970, 
0x004f,0x1p-1969, 
0x0050,0x1p-1968, 
0x0051,0x1p-1967, 
0x0052,0x1p-1966, 
0x0053,0x1p-1965, 
0x0054,0x1p-1964, 
0x0055,0x1p-1963, 
0x0056,0x1p-1962, 
0x0057,0x1p-1961, 
0x0058,0x1p-1960, 
0x0059,0x1p-1959, 
0x005a,0x1p-1958, 
0x005b,0x1p-1957, 
0x005c,0x1p-1956, 
0x005d,0x1p-1955, 
0x005e,0x1p-1954, 
0x005f,0x1p-1953, 
0x0060,0x1p-1952, 
0x0061,0x1p-1951, 
0x0062,0x1p-1950, 
0x0063,0x1p-1949, 
0x0064,0x1p-1948, 
0x0065,0x1p-1947, 
0x0066,0x1p-1946, 
0x0067,0x1p-1945, 
0x0068,0x1p-1944, 
0x0069,0x1p-1943, 
0x006a,0x1p-1942, 
0x006b,0x1p-1941, 
0x006c,0x1p-1940, 
0x006d,0x1p-1939, 
0x006e,0x1p-1938, 
0x006f,0x1p-1937, 
0x0070,0x1p-1936, 
0x0071,0x1p-1935, 
0x0072,0x1p-1934, 
0x0073,0x1p-1933, 
0x0074,0x1p-1932, 
0x0075,0x1p-1931, 
0x0076,0x1p-1930, 
0x0077,0x1p-1929, 
0x0078,0x1p-1928, 
0x0079,0x1p-1927, 
0x007a,0x1p-1926, 
0x007b,0x1p-1925, 
0x007c,0x1p-1924, 
0x007d,0x1p-1923, 
0x007e,0x1p-1922, 
0x007f,0x1p-1921, 
0x0080,0x1p-1920, 
0x0081,0x1p-1919, 
0x0082,0x1p-1918, 
0x0083,0x1p-1917, 
0x0084,0x1p-1916, 
0x0085,0x1p-1915, 
0x0086,0x1p-1914, 
0x0087,0x1p-1913, 
0x0088,0x1p-1912, 
0x0089,0x1p-1911, 
0x008a,0x1p-1910, 
0x008b,0x1p-1909, 
0x008c,0x1p-1908, 
0x008d,0x1p-1907, 
0x008e,0x1p-1906, 
0x008f,0x1p-1905, 
0x0090,0x1p-1904, 
0x0091,0x1p-1903, 
0x0092,0x1p-1902, 
0x0093,0x1p-1901, 
0x0094,0x1p-1900, 
0x0095,0x1p-1899, 
0x0096,0x1p-1898, 
0x0097,0x1p-1897, 
0x0098,0x1p-1896, 
0x0099,0x1p-1895, 
0x009a,0x1p-1894, 
0x009b,0x1p-1893, 
0x009c,0x1p-1892, 
0x009d,0x1p-1891, 
0x009e,0x1p-1890, 
0x009f,0x1p-1889, 
0x00a0,0x1p-1888, 
0x00a1,0x1p-1887, 
0x00a2,0x1p-1886, 
0x00a3,0x1p-1885, 
0x00a4,0x1p-1884, 
0x00a5,0x1p-1883, 
0x00a6,0x1p-1882, 
0x00a7,0x1p-1881, 
0x00a8,0x1p-1880, 
0x00a9,0x1p-1879, 
0x00aa,0x1p-1878, 
0x00ab,0x1p-1877, 
0x00ac,0x1p-1876, 
0x00ad,0x1p-1875, 
0x00ae,0x1p-1874, 
0x00af,0x1p-1873, 
0x00b0,0x1p-1872, 
0x00b1,0x1p-1871, 
0x00b2,0x1p-1870, 
0x00b3,0x1p-1869, 
0x00b4,0x1p-1868, 
0x00b5,0x1p-1867, 
0x00b6,0x1p-1866, 
0x00b7,0x1p-1865, 
0x00b8,0x1p-1864, 
0x00b9,0x1p-1863, 
0x00ba,0x1p-1862, 
0x00bb,0x1p-1861, 
0x00bc,0x1p-1860, 
0x00bd,0x1p-1859, 
0x00be,0x1p-1858, 
0x00bf,0x1p-1857, 
0x00c0,0x1p-1856, 
0x00c1,0x1p-1855, 
0x00c2,0x1p-1854, 
0x00c3,0x1p-1853, 
0x00c4,0x1p-1852, 
0x00c5,0x1p-1851, 
0x00c6,0x1p-1850, 
0x00c7,0x1p-1849, 
0x00c8,0x1p-1848, 
0x00c9,0x1p-1847, 
0x00ca,0x1p-1846, 
0x00cb,0x1p-1845, 
0x00cc,0x1p-1844, 
0x00cd,0x1p-1843, 
0x00ce,0x1p-1842, 
0x00cf,0x1p-1841, 
0x00d0,0x1p-1840, 
0x00d1,0x1p-1839, 
0x00d2,0x1p-1838, 
0x00d3,0x1p-1837, 
0x00d4,0x1p-1836, 
0x00d5,0x1p-1835, 
0x00d6,0x1p-1834, 
0x00d7,0x1p-1833, 
0x00d8,0x1p-1832, 
0x00d9,0x1p-1831, 
0x00da,0x1p-1830, 
0x00db,0x1p-1829, 
0x00dc,0x1p-1828, 
0x00dd,0x1p-1827, 
0x00de,0x1p-1826, 
0x00df,0x1p-1825, 
0x00e0,0x1p-1824, 
0x00e1,0x1p-1823, 
0x00e2,0x1p-1822, 
0x00e3,0x1p-1821, 
0x00e4,0x1p-1820, 
0x00e5,0x1p-1819, 
0x00e6,0x1p-1818, 
0x00e7,0x1p-1817, 
0x00e8,0x1p-1816, 
0x00e9,0x1p-1815, 
0x00ea,0x1p-1814, 
0x00eb,0x1p-1813, 
0x00ec,0x1p-1812, 
0x00ed,0x1p-1811, 
0x00ee,0x1p-1810, 
0x00ef,0x1p-1809, 
0x00f0,0x1p-1808, 
0x00f1,0x1p-1807, 
0x00f2,0x1p-1806, 
0x00f3,0x1p-1805, 
0x00f4,0x1p-1804, 
0x00f5,0x1p-1803, 
0x00f6,0x1p-1802, 
0x00f7,0x1p-1801, 
0x00f8,0x1p-1800, 
0x00f9,0x1p-1799, 
0x00fa,0x1p-1798, 
0x00fb,0x1p-1797, 
0x00fc,0x1p-1796, 
0x00fd,0x1p-1795, 
0x00fe,0x1p-1794, 
0x00ff,0x1p-1793, 
0x0100,0x1p-1792, 
0x0101,0x1p-1791, 
0x0102,0x1p-1790, 
0x0103,0x1p-1789, 
0x0104,0x1p-1788, 
0x0105,0x1p-1787, 
0x0106,0x1p-1786, 
0x0107,0x1p-1785, 
0x0108,0x1p-1784, 
0x0109,0x1p-1783, 
0x010a,0x1p-1782, 
0x010b,0x1p-1781, 
0x010c,0x1p-1780, 
0x010d,0x1p-1779, 
0x010e,0x1p-1778, 
0x010f,0x1p-1777, 
0x0110,0x1p-1776, 
0x0111,0x1p-1775, 
0x0112,0x1p-1774, 
0x0113,0x1p-1773, 
0x0114,0x1p-1772, 
0x0115,0x1p-1771, 
0x0116,0x1p-1770, 
0x0117,0x1p-1769, 
0x0118,0x1p-1768, 
0x0119,0x1p-1767, 
0x011a,0x1p-1766, 
0x011b,0x1p-1765, 
0x011c,0x1p-1764, 
0x011d,0x1p-1763, 
0x011e,0x1p-1762, 
0x011f,0x1p-1761, 
0x0120,0x1p-1760, 
0x0121,0x1p-1759, 
0x0122,0x1p-1758, 
0x0123,0x1p-1757, 
0x0124,0x1p-1756, 
0x0125,0x1p-1755, 
0x0126,0x1p-1754, 
0x0127,0x1p-1753, 
0x0128,0x1p-1752, 
0x0129,0x1p-1751, 
0x012a,0x1p-1750, 
0x012b,0x1p-1749, 
0x012c,0x1p-1748, 
0x012d,0x1p-1747, 
0x012e,0x1p-1746, 
0x012f,0x1p-1745, 
0x0130,0x1p-1744, 
0x0131,0x1p-1743, 
0x0132,0x1p-1742, 
0x0133,0x1p-1741, 
0x0134,0x1p-1740, 
0x0135,0x1p-1739, 
0x0136,0x1p-1738, 
0x0137,0x1p-1737, 
0x0138,0x1p-1736, 
0x0139,0x1p-1735, 
0x013a,0x1p-1734, 
0x013b,0x1p-1733, 
0x013c,0x1p-1732, 
0x013d,0x1p-1731, 
0x013e,0x1p-1730, 
0x013f,0x1p-1729, 
0x0140,0x1p-1728, 
0x0141,0x1p-1727, 
0x0142,0x1p-1726, 
0x0143,0x1p-1725, 
0x0144,0x1p-1724, 
0x0145,0x1p-1723, 
0x0146,0x1p-1722, 
0x0147,0x1p-1721, 
0x0148,0x1p-1720, 
0x0149,0x1p-1719, 
0x014a,0x1p-1718, 
0x014b,0x1p-1717, 
0x014c,0x1p-1716, 
0x014d,0x1p-1715, 
0x014e,0x1p-1714, 
0x014f,0x1p-1713, 
0x0150,0x1p-1712, 
0x0151,0x1p-1711, 
0x0152,0x1p-1710, 
0x0153,0x1p-1709, 
0x0154,0x1p-1708, 
0x0155,0x1p-1707, 
0x0156,0x1p-1706, 
0x0157,0x1p-1705, 
0x0158,0x1p-1704, 
0x0159,0x1p-1703, 
0x015a,0x1p-1702, 
0x015b,0x1p-1701, 
0x015c,0x1p-1700, 
0x015d,0x1p-1699, 
0x015e,0x1p-1698, 
0x015f,0x1p-1697, 
0x0160,0x1p-1696, 
0x0161,0x1p-1695, 
0x0162,0x1p-1694, 
0x0163,0x1p-1693, 
0x0164,0x1p-1692, 
0x0165,0x1p-1691, 
0x0166,0x1p-1690, 
0x0167,0x1p-1689, 
0x0168,0x1p-1688, 
0x0169,0x1p-1687, 
0x016a,0x1p-1686, 
0x016b,0x1p-1685, 
0x016c,0x1p-1684, 
0x016d,0x1p-1683, 
0x016e,0x1p-1682, 
0x016f,0x1p-1681, 
0x0170,0x1p-1680, 
0x0171,0x1p-1679, 
0x0172,0x1p-1678, 
0x0173,0x1p-1677, 
0x0174,0x1p-1676, 
0x0175,0x1p-1675, 
0x0176,0x1p-1674, 
0x0177,0x1p-1673, 
0x0178,0x1p-1672, 
0x0179,0x1p-1671, 
0x017a,0x1p-1670, 
0x017b,0x1p-1669, 
0x017c,0x1p-1668, 
0x017d,0x1p-1667, 
0x017e,0x1p-1666, 
0x017f,0x1p-1665, 
0x0180,0x1p-1664, 
0x0181,0x1p-1663, 
0x0182,0x1p-1662, 
0x0183,0x1p-1661, 
0x0184,0x1p-1660, 
0x0185,0x1p-1659, 
0x0186,0x1p-1658, 
0x0187,0x1p-1657, 
0x0188,0x1p-1656, 
0x0189,0x1p-1655, 
0x018a,0x1p-1654, 
0x018b,0x1p-1653, 
0x018c,0x1p-1652, 
0x018d,0x1p-1651, 
0x018e,0x1p-1650, 
0x018f,0x1p-1649, 
0x0190,0x1p-1648, 
0x0191,0x1p-1647, 
0x0192,0x1p-1646, 
0x0193,0x1p-1645, 
0x0194,0x1p-1644, 
0x0195,0x1p-1643, 
0x0196,0x1p-1642, 
0x0197,0x1p-1641, 
0x0198,0x1p-1640, 
0x0199,0x1p-1639, 
0x019a,0x1p-1638, 
0x019b,0x1p-1637, 
0x019c,0x1p-1636, 
0x019d,0x1p-1635, 
0x019e,0x1p-1634, 
0x019f,0x1p-1633, 
0x01a0,0x1p-1632, 
0x01a1,0x1p-1631, 
0x01a2,0x1p-1630, 
0x01a3,0x1p-1629, 
0x01a4,0x1p-1628, 
0x01a5,0x1p-1627, 
0x01a6,0x1p-1626, 
0x01a7,0x1p-1625, 
0x01a8,0x1p-1624, 
0x01a9,0x1p-1623, 
0x01aa,0x1p-1622, 
0x01ab,0x1p-1621, 
0x01ac,0x1p-1620, 
0x01ad,0x1p-1619, 
0x01ae,0x1p-1618, 
0x01af,0x1p-1617, 
0x01b0,0x1p-1616, 
0x01b1,0x1p-1615, 
0x01b2,0x1p-1614, 
0x01b3,0x1p-1613, 
0x01b4,0x1p-1612, 
0x01b5,0x1p-1611, 
0x01b6,0x1p-1610, 
0x01b7,0x1p-1609, 
0x01b8,0x1p-1608, 
0x01b9,0x1p-1607, 
0x01ba,0x1p-1606, 
0x01bb,0x1p-1605, 
0x01bc,0x1p-1604, 
0x01bd,0x1p-1603, 
0x01be,0x1p-1602, 
0x01bf,0x1p-1601, 
0x01c0,0x1p-1600, 
0x01c1,0x1p-1599, 
0x01c2,0x1p-1598, 
0x01c3,0x1p-1597, 
0x01c4,0x1p-1596, 
0x01c5,0x1p-1595, 
0x01c6,0x1p-1594, 
0x01c7,0x1p-1593, 
0x01c8,0x1p-1592, 
0x01c9,0x1p-1591, 
0x01ca,0x1p-1590, 
0x01cb,0x1p-1589, 
0x01cc,0x1p-1588, 
0x01cd,0x1p-1587, 
0x01ce,0x1p-1586, 
0x01cf,0x1p-1585, 
0x01d0,0x1p-1584, 
0x01d1,0x1p-1583, 
0x01d2,0x1p-1582, 
0x01d3,0x1p-1581, 
0x01d4,0x1p-1580, 
0x01d5,0x1p-1579, 
0x01d6,0x1p-1578, 
0x01d7,0x1p-1577, 
0x01d8,0x1p-1576, 
0x01d9,0x1p-1575, 
0x01da,0x1p-1574, 
0x01db,0x1p-1573, 
0x01dc,0x1p-1572, 
0x01dd,0x1p-1571, 
0x01de,0x1p-1570, 
0x01df,0x1p-1569, 
0x01e0,0x1p-1568, 
0x01e1,0x1p-1567, 
0x01e2,0x1p-1566, 
0x01e3,0x1p-1565, 
0x01e4,0x1p-1564, 
0x01e5,0x1p-1563, 
0x01e6,0x1p-1562, 
0x01e7,0x1p-1561, 
0x01e8,0x1p-1560, 
0x01e9,0x1p-1559, 
0x01ea,0x1p-1558, 
0x01eb,0x1p-1557, 
0x01ec,0x1p-1556, 
0x01ed,0x1p-1555, 
0x01ee,0x1p-1554, 
0x01ef,0x1p-1553, 
0x01f0,0x1p-1552, 
0x01f1,0x1p-1551, 
0x01f2,0x1p-1550, 
0x01f3,0x1p-1549, 
0x01f4,0x1p-1548, 
0x01f5,0x1p-1547, 
0x01f6,0x1p-1546, 
0x01f7,0x1p-1545, 
0x01f8,0x1p-1544, 
0x01f9,0x1p-1543, 
