codepoint,value,subnormal
0x0000,0x0p+0, 
0x0001,0x0.4p-8,*
0x0002,0x0.8p-8,*
0x0003,0x0.cp-8,*
0x0004,0x0.1p-4,*
0x0005,0x0.14p-4,*
0x0006,0x0.18p-4,*
0x0007,0x0.1cp-4,*
0x0008,0x0.2p-4,*
0x0009,0x0.24p-4,*
0x000a,0x0.28p-4,*
0x000b,0x0.2cp-4,*
0x000c,0x0.3p-4,*
0x000d,0x0.34p-4,*
0x000e,0x0.38p-4,*
0x000f,0x0.3cp-4,*
0x0010,0x0.4p-4,*
0x0011,0x0.44p-4,*
0x0012,0x0.48p-4,*
0x0013,0x0.4cp-4,*
0x0014,0x0.5p-4,*
0x0015,0x0.54p-4,*
0x0016,0x0.58p-4,*
0x0017,0x0.5cp-4,*
0x0018,0x0.6p-4,*
0x0019,0x0.64p-4,*
0x001a,0x0.68p-4,*
0x001b,0x0.6cp-4,*
0x001c,0x0.7p-4,*
0x001d,0x0.74p-4,*
0x001e,0x0.78p-4,*
0x001f,0x0.7cp-4,*
0x0020,0x0.8p-4,*
0x0021,0x0.84p-4,*
0x0022,0x0.88p-4,*
0x0023,0x0.8cp-4,*
0x0024,0x0.9p-4,*
0x0025,0x0.94p-4,*
0x0026,0x0.98p-4,*
0x0027,0x0.9cp-4,*
0x0028,0x0.ap-4,*
0x0029,0x0.a4p-4,*
0x002a,0x0.a8p-4,*
0x002b,0x0.acp-4,*
0x002c,0x0.bp-4,*
0x002d,0x0.b4p-4,*
0x002e,0x0.b8p-4,*
0x002f,0x0.bcp-4,*
0x0030,0x0.cp-4,*
0x0031,0x0.c4p-4,*
0x0032,0x0.c8p-4,*
0x0033,0x0.ccp-4,*
0x0034,0x0.dp-4,*
0x0035,0x0.d4p-4,*
0x0036,0x0.d8p-4,*
0x0037,0x0.dcp-4,*
0x0038,0x0.ep-4,*
0x0039,0x0.e4p-4,*
0x003a,0x0.e8p-4,*
0x003b,0x0.ecp-4,*
0x003c,0x0.fp-4,*
0x003d,0x0.f4p-4,*
0x003e,0x0.f8p-4,*
0x003f,0x0.fcp-4,*
0x0040,0x0.1p+0,*
0x0041,0x0.104p+0,*
0x0042,0x0.108p+0,*
0x0043,0x0.10cp+0,*
0x0044,0x0.11p+0,*
0x0045,0x0.114p+0,*
0x0046,0x0.118p+0,*
0x0047,0x0.11cp+0,*
0x0048,0x0.12p+0,*
0x0049,0x0.124p+0,*
0x004a,0x0.128p+0,*
0x004b,0x0.12cp+0,*
0x004c,0x0.13p+0,*
0x004d,0x0.134p+0,*
0x004e,0x0.138p+0,*
0x004f,0x0.13cp+0,*
0x0050,0x0.14p+0,*
0x0051,0x0.144p+0,*
0x0052,0x0.148p+0,*
0x0053,0x0.14cp+0,*
0x0054,0x0.15p+0,*
0x0055,0x0.154p+0,*
0x0056,0x0.158p+0,*
0x0057,0x0.15cp+0,*
0x0058,0x0.16p+0,*
0x0059,0x0.164p+0,*
0x005a,0x0.168p+0,*
0x005b,0x0.16cp+0,*
0x005c,0x0.17p+0,*
0x005d,0x0.174p+0,*
0x005e,0x0.178p+0,*
0x005f,0x0.17cp+0,*
0x0060,0x0.18p+0,*
0x0061,0x0.184p+0,*
0x0062,0x0.188p+0,*
0x0063,0x0.18cp+0,*
0x0064,0x0.19p+0,*
0x0065,0x0.194p+0,*
0x0066,0x0.198p+0,*
0x0067,0x0.19cp+0,*
0x0068,0x0.1ap+0,*
0x0069,0x0.1a4p+0,*
0x006a,0x0.1a8p+0,*
0x006b,0x0.1acp+0,*
0x006c,0x0.1bp+0,*
0x006d,0x0.1b4p+0,*
0x006e,0x0.1b8p+0,*
0x006f,0x0.1bcp+0,*
0x0070,0x0.1cp+0,*
0x0071,0x0.1c4p+0,*
0x0072,0x0.1c8p+0,*
0x0073,0x0.1ccp+0,*
0x0074,0x0.1dp+0,*
0x0075,0x0.1d4p+0,*
0x0076,0x0.1d8p+0,*
0x0077,0x0.1dcp+0,*
0x0078,0x0.1ep+0,*
0x0079,0x0.1e4p+0,*
0x007a,0x0.1e8p+0,*
0x007b,0x0.1ecp+0,*
0x007c,0x0.1fp+0,*
0x007d,0x0.1f4p+0,*
0x007e,0x0.1f8p+0,*
0x007f,0x0.1fcp+0,*
0x0080,0x0.2p+0,*
0x0081,0x0.204p+0,*
0x0082,0x0.208p+0,*
0x0083,0x0.20cp+0,*
0x0084,0x0.21p+0,*
0x0085,0x0.214p+0,*
0x0086,0x0.218p+0,*
0x0087,0x0.21cp+0,*
0x0088,0x0.22p+0,*
0x0089,0x0.224p+0,*
0x008a,0x0.228p+0,*
0x008b,0x0.22cp+0,*
0x008c,0x0.23p+0,*
0x008d,0x0.234p+0,*
0x008e,0x0.238p+0,*
0x008f,0x0.23cp+0,*
0x0090,0x0.24p+0,*
0x0091,0x0.244p+0,*
0x0092,0x0.248p+0,*
0x0093,0x0.24cp+0,*
0x0094,0x0.25p+0,*
0x0095,0x0.254p+0,*
0x0096,0x0.258p+0,*
0x0097,0x0.25cp+0,*
0x0098,0x0.26p+0,*
0x0099,0x0.264p+0,*
0x009a,0x0.268p+0,*
0x009b,0x0.26cp+0,*
0x009c,0x0.27p+0,*
0x009d,0x0.274p+0,*
0x009e,0x0.278p+0,*
0x009f,0x0.27cp+0,*
0x00a0,0x0.28p+0,*
0x00a1,0x0.284p+0,*
0x00a2,0x0.288p+0,*
0x00a3,0x0.28cp+0,*
0x00a4,0x0.29p+0,*
0x00a5,0x0.294p+0,*
0x00a6,0x0.298p+0,*
0x00a7,0x0.29cp+0,*
0x00a8,0x0.2ap+0,*
0x00a9,0x0.2a4p+0,*
0x00aa,0x0.2a8p+0,*
0x00ab,0x0.2acp+0,*
0x00ac,0x0.2bp+0,*
0x00ad,0x0.2b4p+0,*
0x00ae,0x0.2b8p+0,*
0x00af,0x0.2bcp+0,*
0x00b0,0x0.2cp+0,*
0x00b1,0x0.2c4p+0,*
0x00b2,0x0.2c8p+0,*
0x00b3,0x0.2ccp+0,*
0x00b4,0x0.2dp+0,*
0x00b5,0x0.2d4p+0,*
0x00b6,0x0.2d8p+0,*
0x00b7,0x0.2dcp+0,*
0x00b8,0x0.2ep+0,*
0x00b9,0x0.2e4p+0,*
0x00ba,0x0.2e8p+0,*
0x00bb,0x0.2ecp+0,*
0x00bc,0x0.2fp+0,*
0x00bd,0x0.2f4p+0,*
0x00be,0x0.2f8p+0,*
0x00bf,0x0.2fcp+0,*
0x00c0,0x0.3p+0,*
0x00c1,0x0.304p+0,*
0x00c2,0x0.308p+0,*
0x00c3,0x0.30cp+0,*
0x00c4,0x0.31p+0,*
0x00c5,0x0.314p+0,*
0x00c6,0x0.318p+0,*
0x00c7,0x0.31cp+0,*
0x00c8,0x0.32p+0,*
0x00c9,0x0.324p+0,*
0x00ca,0x0.328p+0,*
0x00cb,0x0.32cp+0,*
0x00cc,0x0.33p+0,*
0x00cd,0x0.334p+0,*
0x00ce,0x0.338p+0,*
0x00cf,0x0.33cp+0,*
0x00d0,0x0.34p+0,*
0x00d1,0x0.344p+0,*
0x00d2,0x0.348p+0,*
0x00d3,0x0.34cp+0,*
0x00d4,0x0.35p+0,*
0x00d5,0x0.354p+0,*
0x00d6,0x0.358p+0,*
0x00d7,0x0.35cp+0,*
0x00d8,0x0.36p+0,*
0x00d9,0x0.364p+0,*
0x00da,0x0.368p+0,*
0x00db,0x0.36cp+0,*
0x00dc,0x0.37p+0,*
0x00dd,0x0.374p+0,*
0x00de,0x0.378p+0,*
0x00df,0x0.37cp+0,*
0x00e0,0x0.38p+0,*
0x00e1,0x0.384p+0,*
0x00e2,0x0.388p+0,*
0x00e3,0x0.38cp+0,*
0x00e4,0x0.39p+0,*
0x00e5,0x0.394p+0,*
0x00e6,0x0.398p+0,*
0x00e7,0x0.39cp+0,*
0x00e8,0x0.3ap+0,*
0x00e9,0x0.3a4p+0,*
0x00ea,0x0.3a8p+0,*
0x00eb,0x0.3acp+0,*
0x00ec,0x0.3bp+0,*
0x00ed,0x0.3b4p+0,*
0x00ee,0x0.3b8p+0,*
0x00ef,0x0.3bcp+0,*
0x00f0,0x0.3cp+0,*
0x00f1,0x0.3c4p+0,*
0x00f2,0x0.3c8p+0,*
0x00f3,0x0.3ccp+0,*
0x00f4,0x0.3dp+0,*
0x00f5,0x0.3d4p+0,*
0x00f6,0x0.3d8p+0,*
0x00f7,0x0.3dcp+0,*
0x00f8,0x0.3ep+0,*
0x00f9,0x0.3e4p+0,*
0x00fa,0x0.3e8p+0,*
0x00fb,0x0.3ecp+0,*
0x00fc,0x0.3fp+0,*
0x00fd,0x0.3f4p+0,*
0x00fe,0x0.3f8p+0,*
0x00ff,0x0.3fcp+0,*
0x0100,0x0.4p+0,*
0x0101,0x0.404p+0,*
0x0102,0x0.408p+0,*
0x0103,0x0.40cp+0,*
0x0104,0x0.41p+0,*
0x0105,0x0.414p+0,*
0x0106,0x0.418p+0,*
0x0107,0x0.41cp+0,*
0x0108,0x0.42p+0,*
0x0109,0x0.424p+0,*
0x010a,0x0.428p+0,*
0x010b,0x0.42cp+0,*
0x010c,0x0.43p+0,*
0x010d,0x0.434p+0,*
0x010e,0x0.438p+0,*
0x010f,0x0.43cp+0,*
0x0110,0x0.44p+0,*
0x0111,0x0.444p+0,*
0x0112,0x0.448p+0,*
0x0113,0x0.44cp+0,*
0x0114,0x0.45p+0,*
0x0115,0x0.454p+0,*
0x0116,0x0.458p+0,*
0x0117,0x0.45cp+0,*
0x0118,0x0.46p+0,*
0x0119,0x0.464p+0,*
0x011a,0x0.468p+0,*
0x011b,0x0.46cp+0,*
0x011c,0x0.47p+0,*
0x011d,0x0.474p+0,*
0x011e,0x0.478p+0,*
0x011f,0x0.47cp+0,*
0x0120,0x0.48p+0,*
0x0121,0x0.484p+0,*
0x0122,0x0.488p+0,*
0x0123,0x0.48cp+0,*
0x0124,0x0.49p+0,*
0x0125,0x0.494p+0,*
0x0126,0x0.498p+0,*
0x0127,0x0.49cp+0,*
0x0128,0x0.4ap+0,*
0x0129,0x0.4a4p+0,*
0x012a,0x0.4a8p+0,*
0x012b,0x0.4acp+0,*
0x012c,0x0.4bp+0,*
0x012d,0x0.4b4p+0,*
0x012e,0x0.4b8p+0,*
0x012f,0x0.4bcp+0,*
0x0130,0x0.4cp+0,*
0x0131,0x0.4c4p+0,*
0x0132,0x0.4c8p+0,*
0x0133,0x0.4ccp+0,*
0x0134,0x0.4dp+0,*
0x0135,0x0.4d4p+0,*
0x0136,0x0.4d8p+0,*
0x0137,0x0.4dcp+0,*
0x0138,0x0.4ep+0,*
0x0139,0x0.4e4p+0,*
0x013a,0x0.4e8p+0,*
0x013b,0x0.4ecp+0,*
0x013c,0x0.4fp+0,*
0x013d,0x0.4f4p+0,*
0x013e,0x0.4f8p+0,*
0x013f,0x0.4fcp+0,*
0x0140,0x0.5p+0,*
0x0141,0x0.504p+0,*
0x0142,0x0.508p+0,*
0x0143,0x0.50cp+0,*
0x0144,0x0.51p+0,*
0x0145,0x0.514p+0,*
0x0146,0x0.518p+0,*
0x0147,0x0.51cp+0,*
0x0148,0x0.52p+0,*
0x0149,0x0.524p+0,*
0x014a,0x0.528p+0,*
0x014b,0x0.52cp+0,*
0x014c,0x0.53p+0,*
0x014d,0x0.534p+0,*
0x014e,0x0.538p+0,*
0x014f,0x0.53cp+0,*
0x0150,0x0.54p+0,*
0x0151,0x0.544p+0,*
0x0152,0x0.548p+0,*
0x0153,0x0.54cp+0,*
0x0154,0x0.55p+0,*
0x0155,0x0.554p+0,*
0x0156,0x0.558p+0,*
0x0157,0x0.55cp+0,*
0x0158,0x0.56p+0,*
0x0159,0x0.564p+0,*
0x015a,0x0.568p+0,*
0x015b,0x0.56cp+0,*
0x015c,0x0.57p+0,*
0x015d,0x0.574p+0,*
0x015e,0x0.578p+0,*
0x015f,0x0.57cp+0,*
0x0160,0x0.58p+0,*
0x0161,0x0.584p+0,*
0x0162,0x0.588p+0,*
0x0163,0x0.58cp+0,*
0x0164,0x0.59p+0,*
0x0165,0x0.594p+0,*
0x0166,0x0.598p+0,*
0x0167,0x0.59cp+0,*
0x0168,0x0.5ap+0,*
0x0169,0x0.5a4p+0,*
0x016a,0x0.5a8p+0,*
0x016b,0x0.5acp+0,*
0x016c,0x0.5bp+0,*
0x016d,0x0.5b4p+0,*
0x016e,0x0.5b8p+0,*
0x016f,0x0.5bcp+0,*
0x0170,0x0.5cp+0,*
0x0171,0x0.5c4p+0,*
0x0172,0x0.5c8p+0,*
0x0173,0x0.5ccp+0,*
0x0174,0x0.5dp+0,*
0x0175,0x0.5d4p+0,*
0x0176,0x0.5d8p+0,*
0x0177,0x0.5dcp+0,*
0x0178,0x0.5ep+0,*
0x0179,0x0.5e4p+0,*
0x017a,0x0.5e8p+0,*
0x017b,0x0.5ecp+0,*
0x017c,0x0.5fp+0,*
0x017d,0x0.5f4p+0,*
0x017e,0x0.5f8p+0,*
0x017f,0x0.5fcp+0,*
0x0180,0x0.6p+0,*
0x0181,0x0.604p+0,*
0x0182,0x0.608p+0,*
0x0183,0x0.60cp+0,*
0x0184,0x0.61p+0,*
0x0185,0x0.614p+0,*
0x0186,0x0.618p+0,*
0x0187,0x0.61cp+0,*
0x0188,0x0.62p+0,*
0x0189,0x0.624p+0,*
0x018a,0x0.628p+0,*
0x018b,0x0.62cp+0,*
0x018c,0x0.63p+0,*
0x018d,0x0.634p+0,*
0x018e,0x0.638p+0,*
0x018f,0x0.63cp+0,*
0x0190,0x0.64p+0,*
0x0191,0x0.644p+0,*
0x0192,0x0.648p+0,*
0x0193,0x0.64cp+0,*
0x0194,0x0.65p+0,*
0x0195,0x0.654p+0,*
0x0196,0x0.658p+0,*
0x0197,0x0.65cp+0,*
0x0198,0x0.66p+0,*
0x0199,0x0.664p+0,*
0x019a,0x0.668p+0,*
0x019b,0x0.66cp+0,*
0x019c,0x0.67p+0,*
0x019d,0x0.674p+0,*
0x019e,0x0.678p+0,*
0x019f,0x0.67cp+0,*
0x01a0,0x0.68p+0,*
0x01a1,0x0.684p+0,*
0x01a2,0x0.688p+0,*
0x01a3,0x0.68cp+0,*
0x01a4,0x0.69p+0,*
0x01a5,0x0.694p+0,*
0x01a6,0x0.698p+0,*
0x01a7,0x0.69cp+0,*
0x01a8,0x0.6ap+0,*
0x01a9,0x0.6a4p+0,*
0x01aa,0x0.6a8p+0,*
0x01ab,0x0.6acp+0,*
0x01ac,0x0.6bp+0,*
0x01ad,0x0.6b4p+0,*
0x01ae,0x0.6b8p+0,*
0x01af,0x0.6bcp+0,*
0x01b0,0x0.6cp+0,*
0x01b1,0x0.6c4p+0,*
0x01b2,0x0.6c8p+0,*
0x01b3,0x0.6ccp+0,*
0x01b4,0x0.6dp+0,*
0x01b5,0x0.6d4p+0,*
0x01b6,0x0.6d8p+0,*
0x01b7,0x0.6dcp+0,*
0x01b8,0x0.6ep+0,*
0x01b9,0x0.6e4p+0,*
0x01ba,0x0.6e8p+0,*
0x01bb,0x0.6ecp+0,*
0x01bc,0x0.6fp+0,*
0x01bd,0x0.6f4p+0,*
0x01be,0x0.6f8p+0,*
0x01bf,0x0.6fcp+0,*
0x01c0,0x0.7p+0,*
0x01c1,0x0.704p+0,*
0x01c2,0x0.708p+0,*
0x01c3,0x0.70cp+0,*
0x01c4,0x0.71p+0,*
0x01c5,0x0.714p+0,*
0x01c6,0x0.718p+0,*
0x01c7,0x0.71cp+0,*
0x01c8,0x0.72p+0,*
0x01c9,0x0.724p+0,*
0x01ca,0x0.728p+0,*
0x01cb,0x0.72cp+0,*
0x01cc,0x0.73p+0,*
0x01cd,0x0.734p+0,*
0x01ce,0x0.738p+0,*
0x01cf,0x0.73cp+0,*
0x01d0,0x0.74p+0,*
0x01d1,0x0.744p+0,*
0x01d2,0x0.748p+0,*
0x01d3,0x0.74cp+0,*
0x01d4,0x0.75p+0,*
0x01d5,0x0.754p+0,*
0x01d6,0x0.758p+0,*
0x01d7,0x0.75cp+0,*
0x01d8,0x0.76p+0,*
0x01d9,0x0.764p+0,*
0x01da,0x0.768p+0,*
0x01db,0x0.76cp+0,*
0x01dc,0x0.77p+0,*
0x01dd,0x0.774p+0,*
0x01de,0x0.778p+0,*
0x01df,0x0.77cp+0,*
0x01e0,0x0.78p+0,*
0x01e1,0x0.784p+0,*
0x01e2,0x0.788p+0,*
0x01e3,0x0.78cp+0,*
0x01e4,0x0.79p+0,*
0x01e5,0x0.794p+0,*
0x01e6,0x0.798p+0,*
0x01e7,0x0.79cp+0,*
0x01e8,0x0.7ap+0,*
0x01e9,0x0.7a4p+0,*
0x01ea,0x0.7a8p+0,*
0x01eb,0x0.7acp+0,*
0x01ec,0x0.7bp+0,*
0x01ed,0x0.7b4p+0,*
0x01ee,0x0.7b8p+0,*
0x01ef,0x0.7bcp+0,*
0x01f0,0x0.7cp+0,*
0x01f1,0x0.7c4p+0,*
0x01f2,0x0.7c8p+0,*
0x01f3,0x0.7ccp+0,*
0x01f4,0x0.7dp+0,*
0x01f5,0x0.7d4p+0,*
0x01f6,0x0.7d8p+0,*
0x01f7,0x0.7dcp+0,*
0x01f8,0x0.7ep+0,*
0x01f9,0x0.7e4p+0,*
0x01fa,0x0.7e8p+0,*
0x01fb,0x0.7ecp+0,*
0x01fc,0x0.7fp+0,*
0x01fd,0x0.7f4p+0,*
0x01fe,0x0.7f8p+0,*
0x01ff,0x0.7fcp+0,*
0x0200,0x0.8p+0,*
0x0201,0x0.804p+0,*
0x0202,0x0.808p+0,*
0x0203,0x0.80cp+0,*
0x0204,0x0.81p+0,*
0x0205,0x0.814p+0,*
0x0206,0x0.818p+0,*
0x0207,0x0.81cp+0,*
0x0208,0x0.82p+0,*
0x0209,0x0.824p+0,*
0x020a,0x0.828p+0,*
0x020b,0x0.82cp+0,*
0x020c,0x0.83p+0,*
0x020d,0x0.834p+0,*
0x020e,0x0.838p+0,*
0x020f,0x0.83cp+0,*
0x0210,0x0.84p+0,*
0x0211,0x0.844p+0,*
0x0212,0x0.848p+0,*
0x0213,0x0.84cp+0,*
0x0214,0x0.85p+0,*
0x0215,0x0.854p+0,*
0x0216,0x0.858p+0,*
0x0217,0x0.85cp+0,*
0x0218,0x0.86p+0,*
0x0219,0x0.864p+0,*
0x021a,0x0.868p+0,*
0x021b,0x0.86cp+0,*
0x021c,0x0.87p+0,*
0x021d,0x0.874p+0,*
0x021e,0x0.878p+0,*
0x021f,0x0.87cp+0,*
0x0220,0x0.88p+0,*
0x0221,0x0.884p+0,*
0x0222,0x0.888p+0,*
0x0223,0x0.88cp+0,*
0x0224,0x0.89p+0,*
0x0225,0x0.894p+0,*
0x0226,0x0.898p+0,*
0x0227,0x0.89cp+0,*
0x0228,0x0.8ap+0,*
0x0229,0x0.8a4p+0,*
0x022a,0x0.8a8p+0,*
0x022b,0x0.8acp+0,*
0x022c,0x0.8bp+0,*
0x022d,0x0.8b4p+0,*
0x022e,0x0.8b8p+0,*
0x022f,0x0.8bcp+0,*
0x0230,0x0.8cp+0,*
0x0231,0x0.8c4p+0,*
0x0232,0x0.8c8p+0,*
0x0233,0x0.8ccp+0,*
0x0234,0x0.8dp+0,*
0x0235,0x0.8d4p+0,*
0x0236,0x0.8d8p+0,*
0x0237,0x0.8dcp+0,*
0x0238,0x0.8ep+0,*
0x0239,0x0.8e4p+0,*
0x023a,0x0.8e8p+0,*
0x023b,0x0.8ecp+0,*
0x023c,0x0.8fp+0,*
0x023d,0x0.8f4p+0,*
0x023e,0x0.8f8p+0,*
0x023f,0x0.8fcp+0,*
0x0240,0x0.9p+0,*
0x0241,0x0.904p+0,*
0x0242,0x0.908p+0,*
0x0243,0x0.90cp+0,*
0x0244,0x0.91p+0,*
0x0245,0x0.914p+0,*
0x0246,0x0.918p+0,*
0x0247,0x0.91cp+0,*
0x0248,0x0.92p+0,*
0x0249,0x0.924p+0,*
0x024a,0x0.928p+0,*
0x024b,0x0.92cp+0,*
0x024c,0x0.93p+0,*
0x024d,0x0.934p+0,*
0x024e,0x0.938p+0,*
0x024f,0x0.93cp+0,*
0x0250,0x0.94p+0,*
0x0251,0x0.944p+0,*
0x0252,0x0.948p+0,*
0x0253,0x0.94cp+0,*
0x0254,0x0.95p+0,*
0x0255,0x0.954p+0,*
0x0256,0x0.958p+0,*
0x0257,0x0.95cp+0,*
0x0258,0x0.96p+0,*
0x0259,0x0.964p+0,*
0x025a,0x0.968p+0,*
0x025b,0x0.96cp+0,*
0x025c,0x0.97p+0,*
0x025d,0x0.974p+0,*
0x025e,0x0.978p+0,*
0x025f,0x0.97cp+0,*
0x0260,0x0.98p+0,*
0x0261,0x0.984p+0,*
0x0262,0x0.988p+0,*
0x0263,0x0.98cp+0,*
0x0264,0x0.99p+0,*
0x0265,0x0.994p+0,*
0x0266,0x0.998p+0,*
0x0267,0x0.99cp+0,*
0x0268,0x0.9ap+0,*
0x0269,0x0.9a4p+0,*
0x026a,0x0.9a8p+0,*
0x026b,0x0.9acp+0,*
0x026c,0x0.9bp+0,*
0x026d,0x0.9b4p+0,*
0x026e,0x0.9b8p+0,*
0x026f,0x0.9bcp+0,*
0x0270,0x0.9cp+0,*
0x0271,0x0.9c4p+0,*
0x0272,0x0.9c8p+0,*
0x0273,0x0.9ccp+0,*
0x0274,0x0.9dp+0,*
0x0275,0x0.9d4p+0,*
0x0276,0x0.9d8p+0,*
0x0277,0x0.9dcp+0,*
0x0278,0x0.9ep+0,*
0x0279,0x0.9e4p+0,*
0x027a,0x0.9e8p+0,*
0x027b,0x0.9ecp+0,*
0x027c,0x0.9fp+0,*
0x027d,0x0.9f4p+0,*
0x027e,0x0.9f8p+0,*
0x027f,0x0.9fcp+0,*
0x0280,0x0.ap+0,*
0x0281,0x0.a04p+0,*
0x0282,0x0.a08p+0,*
0x0283,0x0.a0cp+0,*
0x0284,0x0.a1p+0,*
0x0285,0x0.a14p+0,*
0x0286,0x0.a18p+0,*
0x0287,0x0.a1cp+0,*
0x0288,0x0.a2p+0,*
0x0289,0x0.a24p+0,*
0x028a,0x0.a28p+0,*
0x028b,0x0.a2cp+0,*
0x028c,0x0.a3p+0,*
0x028d,0x0.a34p+0,*
0x028e,0x0.a38p+0,*
0x028f,0x0.a3cp+0,*
0x0290,0x0.a4p+0,*
0x0291,0x0.a44p+0,*
0x0292,0x0.a48p+0,*
0x0293,0x0.a4cp+0,*
0x0294,0x0.a5p+0,*
0x0295,0x0.a54p+0,*
0x0296,0x0.a58p+0,*
