codepoint,values,subnormal
0x0000,0x0p+0, 
0x0001,0x0.1p-12,*
0x0002,0x0.2p-12,*
0x0003,0x0.3p-12,*
0x0004,0x0.4p-12,*
0x0005,0x0.5p-12,*
0x0006,0x0.6p-12,*
0x0007,0x0.7p-12,*
0x0008,0x0.8p-12,*
0x0009,0x0.9p-12,*
0x000a,0x0.ap-12,*
0x000b,0x0.bp-12,*
0x000c,0x0.cp-12,*
0x000d,0x0.dp-12,*
0x000e,0x0.ep-12,*
0x000f,0x0.fp-12,*
0x0010,0x0.1p-8,*
0x0011,0x0.11p-8,*
0x0012,0x0.12p-8,*
0x0013,0x0.13p-8,*
0x0014,0x0.14p-8,*
0x0015,0x0.15p-8,*
0x0016,0x0.16p-8,*
0x0017,0x0.17p-8,*
0x0018,0x0.18p-8,*
0x0019,0x0.19p-8,*
0x001a,0x0.1ap-8,*
0x001b,0x0.1bp-8,*
0x001c,0x0.1cp-8,*
0x001d,0x0.1dp-8,*
0x001e,0x0.1ep-8,*
0x001f,0x0.1fp-8,*
0x0020,0x0.2p-8,*
0x0021,0x0.21p-8,*
0x0022,0x0.22p-8,*
0x0023,0x0.23p-8,*
0x0024,0x0.24p-8,*
0x0025,0x0.25p-8,*
0x0026,0x0.26p-8,*
0x0027,0x0.27p-8,*
0x0028,0x0.28p-8,*
0x0029,0x0.29p-8,*
0x002a,0x0.2ap-8,*
0x002b,0x0.2bp-8,*
0x002c,0x0.2cp-8,*
0x002d,0x0.2dp-8,*
0x002e,0x0.2ep-8,*
0x002f,0x0.2fp-8,*
0x0030,0x0.3p-8,*
0x0031,0x0.31p-8,*
0x0032,0x0.32p-8,*
0x0033,0x0.33p-8,*
0x0034,0x0.34p-8,*
0x0035,0x0.35p-8,*
0x0036,0x0.36p-8,*
0x0037,0x0.37p-8,*
0x0038,0x0.38p-8,*
0x0039,0x0.39p-8,*
0x003a,0x0.3ap-8,*
0x003b,0x0.3bp-8,*
0x003c,0x0.3cp-8,*
0x003d,0x0.3dp-8,*
0x003e,0x0.3ep-8,*
0x003f,0x0.3fp-8,*
0x0040,0x0.4p-8,*
0x0041,0x0.41p-8,*
0x0042,0x0.42p-8,*
0x0043,0x0.43p-8,*
0x0044,0x0.44p-8,*
0x0045,0x0.45p-8,*
0x0046,0x0.46p-8,*
0x0047,0x0.47p-8,*
0x0048,0x0.48p-8,*
0x0049,0x0.49p-8,*
0x004a,0x0.4ap-8,*
0x004b,0x0.4bp-8,*
0x004c,0x0.4cp-8,*
0x004d,0x0.4dp-8,*
0x004e,0x0.4ep-8,*
0x004f,0x0.4fp-8,*
0x0050,0x0.5p-8,*
0x0051,0x0.51p-8,*
0x0052,0x0.52p-8,*
0x0053,0x0.53p-8,*
0x0054,0x0.54p-8,*
0x0055,0x0.55p-8,*
0x0056,0x0.56p-8,*
0x0057,0x0.57p-8,*
0x0058,0x0.58p-8,*
0x0059,0x0.59p-8,*
0x005a,0x0.5ap-8,*
0x005b,0x0.5bp-8,*
0x005c,0x0.5cp-8,*
0x005d,0x0.5dp-8,*
0x005e,0x0.5ep-8,*
0x005f,0x0.5fp-8,*
0x0060,0x0.6p-8,*
0x0061,0x0.61p-8,*
0x0062,0x0.62p-8,*
0x0063,0x0.63p-8,*
0x0064,0x0.64p-8,*
0x0065,0x0.65p-8,*
0x0066,0x0.66p-8,*
0x0067,0x0.67p-8,*
0x0068,0x0.68p-8,*
0x0069,0x0.69p-8,*
0x006a,0x0.6ap-8,*
0x006b,0x0.6bp-8,*
0x006c,0x0.6cp-8,*
0x006d,0x0.6dp-8,*
