codepoint,values,subnormal
0x0000,0x0p+0, 
0x0001,0x0.8p-16384,*
0x0002,0x0.1p-16380,*
0x0003,0x0.18p-16380,*
0x0004,0x1p-16383, 
0x0005,0x1.4p-16383, 
0x0006,0x1.8p-16383, 
0x0007,0x1.cp-16383, 
0x0008,0x1p-16382, 
0x0009,0x1.4p-16382, 
0x000a,0x1.8p-16382, 
0x000b,0x1.cp-16382, 
0x000c,0x1p-16381, 
0x000d,0x1.4p-16381, 
0x000e,0x1.8p-16381, 
0x000f,0x1.cp-16381, 
0x0010,0x1p-16380, 
0x0011,0x1.4p-16380, 
0x0012,0x1.8p-16380, 
0x0013,0x1.cp-16380, 
0x0014,0x1p-16379, 
0x0015,0x1.4p-16379, 
0x0016,0x1.8p-16379, 
0x0017,0x1.cp-16379, 
0x0018,0x1p-16378, 
0x0019,0x1.4p-16378, 
0x001a,0x1.8p-16378, 
0x001b,0x1.cp-16378, 
0x001c,0x1p-16377, 
0x001d,0x1.4p-16377, 
0x001e,0x1.8p-16377, 
0x001f,0x1.cp-16377, 
0x0020,0x1p-16376, 
0x0021,0x1.4p-16376, 
0x0022,0x1.8p-16376, 
0x0023,0x1.cp-16376, 
0x0024,0x1p-16375, 
0x0025,0x1.4p-16375, 
0x0026,0x1.8p-16375, 
0x0027,0x1.cp-16375, 
0x0028,0x1p-16374, 
0x0029,0x1.4p-16374, 
0x002a,0x1.8p-16374, 
0x002b,0x1.cp-16374, 
0x002c,0x1p-16373, 
0x002d,0x1.4p-16373, 
0x002e,0x1.8p-16373, 
0x002f,0x1.cp-16373, 
0x0030,0x1p-16372, 
0x0031,0x1.4p-16372, 
0x0032,0x1.8p-16372, 
0x0033,0x1.cp-16372, 
0x0034,0x1p-16371, 
0x0035,0x1.4p-16371, 
0x0036,0x1.8p-16371, 
0x0037,0x1.cp-16371, 
0x0038,0x1p-16370, 
0x0039,0x1.4p-16370, 
0x003a,0x1.8p-16370, 
0x003b,0x1.cp-16370, 
0x003c,0x1p-16369, 
0x003d,0x1.4p-16369, 
0x003e,0x1.8p-16369, 
0x003f,0x1.cp-16369, 
0x0040,0x1p-16368, 
0x0041,0x1.4p-16368, 
0x0042,0x1.8p-16368, 
0x0043,0x1.cp-16368, 
0x0044,0x1p-16367, 
0x0045,0x1.4p-16367, 
0x0046,0x1.8p-16367, 
0x0047,0x1.cp-16367, 
0x0048,0x1p-16366, 
0x0049,0x1.4p-16366, 
0x004a,0x1.8p-16366, 
0x004b,0x1.cp-16366, 
0x004c,0x1p-16365, 
0x004d,0x1.4p-16365, 
0x004e,0x1.8p-16365, 
0x004f,0x1.cp-16365, 
0x0050,0x1p-16364, 
0x0051,0x1.4p-16364, 
0x0052,0x1.8p-16364, 
