codepoint,value,subnormal
0x0000,0x0p+0, 
0x0001,0x0.2p-260,*
0x0002,0x0.4p-260,*
0x0003,0x0.6p-260,*
0x0004,0x0.8p-260,*
0x0005,0x0.ap-260,*
0x0006,0x0.cp-260,*
0x0007,0x0.ep-260,*
0x0008,0x0.1p-256,*
0x0009,0x0.12p-256,*
0x000a,0x0.14p-256,*
0x000b,0x0.16p-256,*
0x000c,0x0.18p-256,*
0x000d,0x0.1ap-256,*
0x000e,0x0.1cp-256,*
0x000f,0x0.1ep-256,*
0x0010,0x0.2p-256,*
0x0011,0x0.22p-256,*
0x0012,0x0.24p-256,*
0x0013,0x0.26p-256,*
0x0014,0x0.28p-256,*
0x0015,0x0.2ap-256,*
0x0016,0x0.2cp-256,*
0x0017,0x0.2ep-256,*
0x0018,0x0.3p-256,*
0x0019,0x0.32p-256,*
0x001a,0x0.34p-256,*
0x001b,0x0.36p-256,*
0x001c,0x0.38p-256,*
0x001d,0x0.3ap-256,*
0x001e,0x0.3cp-256,*
0x001f,0x0.3ep-256,*
0x0020,0x0.4p-256,*
0x0021,0x0.42p-256,*
0x0022,0x0.44p-256,*
0x0023,0x0.46p-256,*
0x0024,0x0.48p-256,*
0x0025,0x0.4ap-256,*
0x0026,0x0.4cp-256,*
0x0027,0x0.4ep-256,*
0x0028,0x0.5p-256,*
0x0029,0x0.52p-256,*
0x002a,0x0.54p-256,*
0x002b,0x0.56p-256,*
0x002c,0x0.58p-256,*
0x002d,0x0.5ap-256,*
0x002e,0x0.5cp-256,*
0x002f,0x0.5ep-256,*
0x0030,0x0.6p-256,*
0x0031,0x0.62p-256,*
0x0032,0x0.64p-256,*
0x0033,0x0.66p-256,*
0x0034,0x0.68p-256,*
0x0035,0x0.6ap-256,*
0x0036,0x0.6cp-256,*
0x0037,0x0.6ep-256,*
0x0038,0x0.7p-256,*
0x0039,0x0.72p-256,*
0x003a,0x0.74p-256,*
0x003b,0x0.76p-256,*
0x003c,0x0.78p-256,*
0x003d,0x0.7ap-256,*
0x003e,0x0.7cp-256,*
0x003f,0x0.7ep-256,*
0x0040,0x0.8p-256,*
0x0041,0x0.82p-256,*
0x0042,0x0.84p-256,*
0x0043,0x0.86p-256,*
0x0044,0x0.88p-256,*
0x0045,0x0.8ap-256,*
0x0046,0x0.8cp-256,*
0x0047,0x0.8ep-256,*
0x0048,0x0.9p-256,*
0x0049,0x0.92p-256,*
0x004a,0x0.94p-256,*
0x004b,0x0.96p-256,*
0x004c,0x0.98p-256,*
0x004d,0x0.9ap-256,*
0x004e,0x0.9cp-256,*
0x004f,0x0.9ep-256,*
0x0050,0x0.ap-256,*
0x0051,0x0.a2p-256,*
0x0052,0x0.a4p-256,*
0x0053,0x0.a6p-256,*
0x0054,0x0.a8p-256,*
0x0055,0x0.aap-256,*
0x0056,0x0.acp-256,*
0x0057,0x0.aep-256,*
0x0058,0x0.bp-256,*
0x0059,0x0.b2p-256,*
0x005a,0x0.b4p-256,*
0x005b,0x0.b6p-256,*
0x005c,0x0.b8p-256,*
0x005d,0x0.bap-256,*
0x005e,0x0.bcp-256,*
0x005f,0x0.bep-256,*
0x0060,0x0.cp-256,*
0x0061,0x0.c2p-256,*
0x0062,0x0.c4p-256,*
0x0063,0x0.c6p-256,*
0x0064,0x0.c8p-256,*
0x0065,0x0.cap-256,*
0x0066,0x0.ccp-256,*
0x0067,0x0.cep-256,*
0x0068,0x0.dp-256,*
0x0069,0x0.d2p-256,*
0x006a,0x0.d4p-256,*
0x006b,0x0.d6p-256,*
0x006c,0x0.d8p-256,*
0x006d,0x0.dap-256,*
0x006e,0x0.dcp-256,*
0x006f,0x0.dep-256,*
0x0070,0x0.ep-256,*
0x0071,0x0.e2p-256,*
0x0072,0x0.e4p-256,*
0x0073,0x0.e6p-256,*
0x0074,0x0.e8p-256,*
0x0075,0x0.eap-256,*
0x0076,0x0.ecp-256,*
0x0077,0x0.eep-256,*
0x0078,0x0.fp-256,*
0x0079,0x0.f2p-256,*
0x007a,0x0.f4p-256,*
0x007b,0x0.f6p-256,*
0x007c,0x0.f8p-256,*
0x007d,0x0.fap-256,*
0x007e,0x0.fcp-256,*
0x007f,0x0.fep-256,*
0x0080,0x0.1p-252,*
0x0081,0x0.102p-252,*
0x0082,0x0.104p-252,*
0x0083,0x0.106p-252,*
0x0084,0x0.108p-252,*
0x0085,0x0.10ap-252,*
0x0086,0x0.10cp-252,*
0x0087,0x0.10ep-252,*
0x0088,0x0.11p-252,*
0x0089,0x0.112p-252,*
0x008a,0x0.114p-252,*
0x008b,0x0.116p-252,*
0x008c,0x0.118p-252,*
0x008d,0x0.11ap-252,*
0x008e,0x0.11cp-252,*
0x008f,0x0.11ep-252,*
0x0090,0x0.12p-252,*
0x0091,0x0.122p-252,*
0x0092,0x0.124p-252,*
0x0093,0x0.126p-252,*
0x0094,0x0.128p-252,*
0x0095,0x0.12ap-252,*
0x0096,0x0.12cp-252,*
0x0097,0x0.12ep-252,*
0x0098,0x0.13p-252,*
0x0099,0x0.132p-252,*
0x009a,0x0.134p-252,*
0x009b,0x0.136p-252,*
0x009c,0x0.138p-252,*
0x009d,0x0.13ap-252,*
0x009e,0x0.13cp-252,*
0x009f,0x0.13ep-252,*
0x00a0,0x0.14p-252,*
0x00a1,0x0.142p-252,*
0x00a2,0x0.144p-252,*
0x00a3,0x0.146p-252,*
0x00a4,0x0.148p-252,*
0x00a5,0x0.14ap-252,*
0x00a6,0x0.14cp-252,*
0x00a7,0x0.14ep-252,*
0x00a8,0x0.15p-252,*
0x00a9,0x0.152p-252,*
0x00aa,0x0.154p-252,*
0x00ab,0x0.156p-252,*
0x00ac,0x0.158p-252,*
0x00ad,0x0.15ap-252,*
0x00ae,0x0.15cp-252,*
0x00af,0x0.15ep-252,*
0x00b0,0x0.16p-252,*
0x00b1,0x0.162p-252,*
0x00b2,0x0.164p-252,*
0x00b3,0x0.166p-252,*
0x00b4,0x0.168p-252,*
0x00b5,0x0.16ap-252,*
0x00b6,0x0.16cp-252,*
0x00b7,0x0.16ep-252,*
0x00b8,0x0.17p-252,*
0x00b9,0x0.172p-252,*
0x00ba,0x0.174p-252,*
0x00bb,0x0.176p-252,*
0x00bc,0x0.178p-252,*
0x00bd,0x0.17ap-252,*
0x00be,0x0.17cp-252,*
0x00bf,0x0.17ep-252,*
0x00c0,0x0.18p-252,*
0x00c1,0x0.182p-252,*
0x00c2,0x0.184p-252,*
0x00c3,0x0.186p-252,*
0x00c4,0x0.188p-252,*
0x00c5,0x0.18ap-252,*
0x00c6,0x0.18cp-252,*
0x00c7,0x0.18ep-252,*
0x00c8,0x0.19p-252,*
0x00c9,0x0.192p-252,*
0x00ca,0x0.194p-252,*
0x00cb,0x0.196p-252,*
0x00cc,0x0.198p-252,*
0x00cd,0x0.19ap-252,*
0x00ce,0x0.19cp-252,*
0x00cf,0x0.19ep-252,*
0x00d0,0x0.1ap-252,*
0x00d1,0x0.1a2p-252,*
0x00d2,0x0.1a4p-252,*
0x00d3,0x0.1a6p-252,*
0x00d4,0x0.1a8p-252,*
0x00d5,0x0.1aap-252,*
0x00d6,0x0.1acp-252,*
0x00d7,0x0.1aep-252,*
0x00d8,0x0.1bp-252,*
0x00d9,0x0.1b2p-252,*
0x00da,0x0.1b4p-252,*
0x00db,0x0.1b6p-252,*
0x00dc,0x0.1b8p-252,*
0x00dd,0x0.1bap-252,*
0x00de,0x0.1bcp-252,*
0x00df,0x0.1bep-252,*
0x00e0,0x0.1cp-252,*
0x00e1,0x0.1c2p-252,*
0x00e2,0x0.1c4p-252,*
0x00e3,0x0.1c6p-252,*
0x00e4,0x0.1c8p-252,*
0x00e5,0x0.1cap-252,*
0x00e6,0x0.1ccp-252,*
0x00e7,0x0.1cep-252,*
0x00e8,0x0.1dp-252,*
0x00e9,0x0.1d2p-252,*
0x00ea,0x0.1d4p-252,*
0x00eb,0x0.1d6p-252,*
0x00ec,0x0.1d8p-252,*
0x00ed,0x0.1dap-252,*
0x00ee,0x0.1dcp-252,*
0x00ef,0x0.1dep-252,*
0x00f0,0x0.1ep-252,*
0x00f1,0x0.1e2p-252,*
0x00f2,0x0.1e4p-252,*
0x00f3,0x0.1e6p-252,*
0x00f4,0x0.1e8p-252,*
0x00f5,0x0.1eap-252,*
0x00f6,0x0.1ecp-252,*
0x00f7,0x0.1eep-252,*
0x00f8,0x0.1fp-252,*
0x00f9,0x0.1f2p-252,*
0x00fa,0x0.1f4p-252,*
0x00fb,0x0.1f6p-252,*
0x00fc,0x0.1f8p-252,*
0x00fd,0x0.1fap-252,*
0x00fe,0x0.1fcp-252,*
0x00ff,0x0.1fep-252,*
0x0100,0x1p-255, 
0x0101,0x1.01p-255, 
0x0102,0x1.02p-255, 
0x0103,0x1.03p-255, 
0x0104,0x1.04p-255, 
0x0105,0x1.05p-255, 
0x0106,0x1.06p-255, 
0x0107,0x1.07p-255, 
0x0108,0x1.08p-255, 
0x0109,0x1.09p-255, 
0x010a,0x1.0ap-255, 
0x010b,0x1.0bp-255, 
0x010c,0x1.0cp-255, 
0x010d,0x1.0dp-255, 
0x010e,0x1.0ep-255, 
0x010f,0x1.0fp-255, 
0x0110,0x1.1p-255, 
0x0111,0x1.11p-255, 
0x0112,0x1.12p-255, 
0x0113,0x1.13p-255, 
0x0114,0x1.14p-255, 
0x0115,0x1.15p-255, 
0x0116,0x1.16p-255, 
0x0117,0x1.17p-255, 
0x0118,0x1.18p-255, 
0x0119,0x1.19p-255, 
0x011a,0x1.1ap-255, 
0x011b,0x1.1bp-255, 
0x011c,0x1.1cp-255, 
0x011d,0x1.1dp-255, 
0x011e,0x1.1ep-255, 
0x011f,0x1.1fp-255, 
0x0120,0x1.2p-255, 
0x0121,0x1.21p-255, 
0x0122,0x1.22p-255, 
0x0123,0x1.23p-255, 
0x0124,0x1.24p-255, 
0x0125,0x1.25p-255, 
0x0126,0x1.26p-255, 
0x0127,0x1.27p-255, 
0x0128,0x1.28p-255, 
0x0129,0x1.29p-255, 
0x012a,0x1.2ap-255, 
0x012b,0x1.2bp-255, 
0x012c,0x1.2cp-255, 
0x012d,0x1.2dp-255, 
0x012e,0x1.2ep-255, 
0x012f,0x1.2fp-255, 
0x0130,0x1.3p-255, 
0x0131,0x1.31p-255, 
0x0132,0x1.32p-255, 
0x0133,0x1.33p-255, 
0x0134,0x1.34p-255, 
0x0135,0x1.35p-255, 
0x0136,0x1.36p-255, 
0x0137,0x1.37p-255, 
0x0138,0x1.38p-255, 
0x0139,0x1.39p-255, 
0x013a,0x1.3ap-255, 
0x013b,0x1.3bp-255, 
0x013c,0x1.3cp-255, 
0x013d,0x1.3dp-255, 
0x013e,0x1.3ep-255, 
0x013f,0x1.3fp-255, 
0x0140,0x1.4p-255, 
0x0141,0x1.41p-255, 
0x0142,0x1.42p-255, 
0x0143,0x1.43p-255, 
0x0144,0x1.44p-255, 
0x0145,0x1.45p-255, 
0x0146,0x1.46p-255, 
0x0147,0x1.47p-255, 
0x0148,0x1.48p-255, 
0x0149,0x1.49p-255, 
0x014a,0x1.4ap-255, 
