codepoint,value,subnormal
0x00,0x0p+0, 
0x01,0x0.1p+0,*
0x02,0x0.2p+0,*
0x03,0x0.3p+0,*
0x04,0x0.4p+0,*
0x05,0x0.5p+0,*
0x06,0x0.6p+0,*
0x07,0x0.7p+0,*
0x08,0x0.8p+0,*
0x09,0x0.9p+0,*
0x0a,0x0.ap+0,*
0x0b,0x0.bp+0,*
0x0c,0x0.cp+0,*
0x0d,0x0.dp+0,*
0x0e,0x0.ep+0,*
0x0f,0x0.fp+0,*
0x10,0x1p+0, 
0x11,0x1.1p+0, 
0x12,0x1.2p+0, 
0x13,0x1.3p+0, 
0x14,0x1.4p+0, 
0x15,0x1.5p+0, 
0x16,0x1.6p+0, 
0x17,0x1.7p+0, 
0x18,0x1.8p+0, 
0x19,0x1.9p+0, 
0x1a,0x1.ap+0, 
0x1b,0x1.bp+0, 
0x1c,0x1.cp+0, 
0x1d,0x1.dp+0, 
0x1e,0x1.ep+0, 
0x1f,NaN, 
