codepoint,value,subnormal
0x00,0x0p+0, 
0x01,0x1p-31, 
0x02,0x1p-30, 
0x03,0x1p-29, 
0x04,0x1p-28, 
0x05,0x1p-27, 
0x06,0x1p-26, 
0x07,0x1p-25, 
0x08,0x1p-24, 
0x09,0x1p-23, 
0x0a,0x1p-22, 
0x0b,0x1p-21, 
0x0c,0x1p-20, 
0x0d,0x1p-19, 
0x0e,0x1p-18, 
0x0f,0x1p-17, 
0x10,0x1p-16, 
0x11,0x1p-15, 
0x12,0x1p-14, 
0x13,0x1p-13, 
0x14,0x1p-12, 
0x15,0x1p-11, 
0x16,0x1p-10, 
0x17,0x1p-9, 
0x18,0x1p-8, 
0x19,0x1p-7, 
0x1a,0x1p-6, 
0x1b,0x1p-5, 
0x1c,0x1p-4, 
0x1d,0x1p-3, 
0x1e,0x1p-2, 
0x1f,0x1p-1, 
0x20,0x1p+0, 
0x21,0x1p+1, 
0x22,0x1p+2, 
0x23,0x1p+3, 
0x24,0x1p+4, 
0x25,0x1p+5, 
0x26,0x1p+6, 
0x27,0x1p+7, 
0x28,0x1p+8, 
0x29,0x1p+9, 
0x2a,0x1p+10, 
0x2b,0x1p+11, 
0x2c,0x1p+12, 
0x2d,0x1p+13, 
0x2e,0x1p+14, 
0x2f,0x1p+15, 
0x30,0x1p+16, 
0x31,0x1p+17, 
0x32,0x1p+18, 
0x33,0x1p+19, 
0x34,0x1p+20, 
0x35,0x1p+21, 
0x36,0x1p+22, 
0x37,0x1p+23, 
0x38,0x1p+24, 
0x39,0x1p+25, 
0x3a,0x1p+26, 
0x3b,0x1p+27, 
0x3c,0x1p+28, 
0x3d,0x1p+29, 
0x3e,0x1p+30, 
0x3f,Inf, 
0x40,NaN, 
0x41,-0x1p-31, 
0x42,-0x1p-30, 
0x43,-0x1p-29, 
0x44,-0x1p-28, 
0x45,-0x1p-27, 
0x46,-0x1p-26, 
0x47,-0x1p-25, 
0x48,-0x1p-24, 
0x49,-0x1p-23, 
0x4a,-0x1p-22, 
0x4b,-0x1p-21, 
0x4c,-0x1p-20, 
0x4d,-0x1p-19, 
0x4e,-0x1p-18, 
0x4f,-0x1p-17, 
0x50,-0x1p-16, 
0x51,-0x1p-15, 
0x52,-0x1p-14, 
0x53,-0x1p-13, 
0x54,-0x1p-12, 
0x55,-0x1p-11, 
0x56,-0x1p-10, 
0x57,-0x1p-9, 
0x58,-0x1p-8, 
0x59,-0x1p-7, 
0x5a,-0x1p-6, 
0x5b,-0x1p-5, 
0x5c,-0x1p-4, 
0x5d,-0x1p-3, 
0x5e,-0x1p-2, 
0x5f,-0x1p-1, 
0x60,-0x1p+0, 
0x61,-0x1p+1, 
0x62,-0x1p+2, 
0x63,-0x1p+3, 
0x64,-0x1p+4, 
0x65,-0x1p+5, 
0x66,-0x1p+6, 
0x67,-0x1p+7, 
0x68,-0x1p+8, 
0x69,-0x1p+9, 
0x6a,-0x1p+10, 
0x6b,-0x1p+11, 
0x6c,-0x1p+12, 
0x6d,-0x1p+13, 
0x6e,-0x1p+14, 
0x6f,-0x1p+15, 
0x70,-0x1p+16, 
0x71,-0x1p+17, 
0x72,-0x1p+18, 
0x73,-0x1p+19, 
0x74,-0x1p+20, 
0x75,-0x1p+21, 
0x76,-0x1p+22, 
0x77,-0x1p+23, 
0x78,-0x1p+24, 
0x79,-0x1p+25, 
0x7a,-0x1p+26, 
0x7b,-0x1p+27, 
0x7c,-0x1p+28, 
0x7d,-0x1p+29, 
0x7e,-0x1p+30, 
0x7f,-Inf, 
