codepoint,value,subnormal
0x0000,0x0p+0, 
0x0001,0x1p-255, 
0x0002,0x1p-254, 
0x0003,0x1p-253, 
0x0004,0x1p-252, 
0x0005,0x1p-251, 
0x0006,0x1p-250, 
0x0007,0x1p-249, 
0x0008,0x1p-248, 
0x0009,0x1p-247, 
0x000a,0x1p-246, 
0x000b,0x1p-245, 
0x000c,0x1p-244, 
0x000d,0x1p-243, 
0x000e,0x1p-242, 
0x000f,0x1p-241, 
0x0010,0x1p-240, 
0x0011,0x1p-239, 
0x0012,0x1p-238, 
0x0013,0x1p-237, 
0x0014,0x1p-236, 
0x0015,0x1p-235, 
0x0016,0x1p-234, 
0x0017,0x1p-233, 
0x0018,0x1p-232, 
0x0019,0x1p-231, 
0x001a,0x1p-230, 
0x001b,0x1p-229, 
0x001c,0x1p-228, 
0x001d,0x1p-227, 
0x001e,0x1p-226, 
0x001f,0x1p-225, 
0x0020,0x1p-224, 
0x0021,0x1p-223, 
0x0022,0x1p-222, 
0x0023,0x1p-221, 
0x0024,0x1p-220, 
0x0025,0x1p-219, 
0x0026,0x1p-218, 
0x0027,0x1p-217, 
0x0028,0x1p-216, 
0x0029,0x1p-215, 
0x002a,0x1p-214, 
0x002b,0x1p-213, 
0x002c,0x1p-212, 
0x002d,0x1p-211, 
0x002e,0x1p-210, 
0x002f,0x1p-209, 
0x0030,0x1p-208, 
0x0031,0x1p-207, 
0x0032,0x1p-206, 
0x0033,0x1p-205, 
0x0034,0x1p-204, 
0x0035,0x1p-203, 
0x0036,0x1p-202, 
0x0037,0x1p-201, 
0x0038,0x1p-200, 
0x0039,0x1p-199, 
0x003a,0x1p-198, 
0x003b,0x1p-197, 
0x003c,0x1p-196, 
0x003d,0x1p-195, 
0x003e,0x1p-194, 
0x003f,0x1p-193, 
0x0040,0x1p-192, 
0x0041,0x1p-191, 
0x0042,0x1p-190, 
0x0043,0x1p-189, 
0x0044,0x1p-188, 
0x0045,0x1p-187, 
0x0046,0x1p-186, 
0x0047,0x1p-185, 
0x0048,0x1p-184, 
0x0049,0x1p-183, 
0x004a,0x1p-182, 
0x004b,0x1p-181, 
0x004c,0x1p-180, 
0x004d,0x1p-179, 
0x004e,0x1p-178, 
0x004f,0x1p-177, 
0x0050,0x1p-176, 
0x0051,0x1p-175, 
0x0052,0x1p-174, 
0x0053,0x1p-173, 
0x0054,0x1p-172, 
0x0055,0x1p-171, 
0x0056,0x1p-170, 
0x0057,0x1p-169, 
0x0058,0x1p-168, 
0x0059,0x1p-167, 
0x005a,0x1p-166, 
0x005b,0x1p-165, 
0x005c,0x1p-164, 
0x005d,0x1p-163, 
0x005e,0x1p-162, 
0x005f,0x1p-161, 
0x0060,0x1p-160, 
0x0061,0x1p-159, 
0x0062,0x1p-158, 
0x0063,0x1p-157, 
0x0064,0x1p-156, 
0x0065,0x1p-155, 
0x0066,0x1p-154, 
0x0067,0x1p-153, 
0x0068,0x1p-152, 
0x0069,0x1p-151, 
0x006a,0x1p-150, 
0x006b,0x1p-149, 
0x006c,0x1p-148, 
0x006d,0x1p-147, 
0x006e,0x1p-146, 
0x006f,0x1p-145, 
0x0070,0x1p-144, 
0x0071,0x1p-143, 
0x0072,0x1p-142, 
0x0073,0x1p-141, 
0x0074,0x1p-140, 
0x0075,0x1p-139, 
0x0076,0x1p-138, 
0x0077,0x1p-137, 
0x0078,0x1p-136, 
0x0079,0x1p-135, 
0x007a,0x1p-134, 
0x007b,0x1p-133, 
0x007c,0x1p-132, 
0x007d,0x1p-131, 
0x007e,0x1p-130, 
0x007f,0x1p-129, 
0x0080,0x1p-128, 
0x0081,0x1p-127, 
0x0082,0x1p-126, 
0x0083,0x1p-125, 
